A_x [g]	A_y [g]	A_z [g]
   0.188367996	  -0.124439998	   1.103855979
   0.184951996	  -0.112239998	   1.149239978
   0.191295996	  -0.101503998	   1.174127977
   0.194223996	  -0.105407998	   1.199991977
   0.195199996	  -0.115167998	   1.226831976
   0.190319996	  -0.125903998	   1.257087976
   0.201543996	  -0.122487998	   1.280999975
   0.200079996	  -0.130295997	   1.288319975
   0.195687996	  -0.139079997	   1.304423975
   0.197151996	  -0.160551997	   1.294663975
   0.181535996	  -0.213255996	   1.251231976
   0.162991997	  -0.271815995	   1.209751977
   0.189831996	  -0.298655994	   1.210239977
   0.188367996	  -0.285967994	   1.230247976
   0.205447996	  -0.239119995	   1.265871976
   0.208375996	  -0.163967997	   1.336143974
   0.192271996	  -0.081007998	   1.347367974
   0.153231997	  -0.049287999	   1.327359974
   0.136151997	  -0.062463999	   1.276607975
   0.124927998	  -0.105895998	   1.145823978
   0.062463999	  -0.155671997	   0.986247981
   0.040991999	  -0.199103996	   0.883767983
   0.024888000	  -0.216183996	   0.823743984
   0.021960000	  -0.135663997	   0.803735984
   0.034159999	  -0.082471998	   0.848143984
   0.067343999	  -0.058559999	   0.842775984
   0.059047999	  -0.060023999	   0.787143985
   0.012200000	  -0.074175999	   0.688079987
  -0.031231999	  -0.115167998	   0.600727988
  -0.052215999	  -0.166895997	   0.511911990
  -0.078567998	  -0.230335996	   0.426999992
  -0.072711999	  -0.258151995	   0.387959993
  -0.095647998	  -0.264983995	   0.376247993
  -0.164455997	  -0.292799994	   0.377223993
  -0.160551997	  -0.323543994	   0.377711993
  -0.131759997	  -0.386983993	   0.419679992
  -0.150303997	  -0.460183991	   0.418215992
  -0.215207996	  -0.575351989	   0.349895993
  -0.295727994	  -0.718823986	   0.267911995
  -0.368439993	  -0.913047982	   0.248391995
  -0.365023993	  -1.109711979	   0.292311994
  -0.338671993	  -1.318087975	   0.370879993
  -0.309879994	  -1.531343970	   0.440175992
  -0.272791995	  -1.677743968	   0.572911989
  -0.190807996	  -1.754359966	   0.711503986
  -0.060999999	  -1.766071966	   0.865223983
   0.032207999	  -1.718247967	   0.988687981
   0.084423998	  -1.632359968	   1.097999979
   0.158599997	  -1.521095971	   1.215607977
   0.254247995	  -1.378111973	   1.267335976
   0.384543993	  -1.206335977	   1.297591975
   0.597311988	  -0.994543981	   1.238055976
   0.714919986	  -0.780799985	   1.133135978
   0.796415985	  -0.475799991	   1.125815978
   0.870591983	  -0.099063998	   1.219511976
   0.903287983	   0.347455993	   1.399583973
   1.022847980	   0.841799984	   1.593807969
   1.043343980	   1.273191975	   1.723615967
   1.040903980	   1.586487969	   1.830487965
   1.019919980	   1.823655965	   1.805599965
   1.131671978	   2.011535961	   1.755823966
   1.068719979	   2.139391959	   1.839759964
   1.082383979	   2.267247956	   1.886119964
   1.070671979	   2.354111955	   1.942239963
   1.014063980	   2.426335953	   1.962247962
   0.898895983	   2.447807953	   1.908079963
   0.965263981	   2.426335953	   1.954439962
   1.003815981	   2.290183956	   1.951999962
   1.027727980	   2.067167960	   1.744111966
   0.980879981	   1.854887964	   1.641631968
   0.987223981	   1.627967969	   1.544031970
   1.070671979	   1.383967973	   1.424471973
   1.102391979	   1.158023978	   1.338095974
   1.114103978	   0.869615983	   1.304423975
   1.148751978	   0.590479989	   1.254159976
   1.143383978	   0.300607994	   1.191207977
   1.051151980	  -0.041967999	   1.093607979
   0.949159982	  -0.301583994	   1.002351981
   0.874495983	  -0.481655991	   0.938423982
   0.770063985	  -0.614391988	   0.850095984
   0.685151987	  -0.656847987	   0.831063984
   0.714431986	  -0.559247989	   0.919879982
   0.550951989	  -0.521671990	   0.955991982
   0.356239993	  -0.579255989	   0.853511984
   0.230335996	  -0.728583986	   0.797879985
   0.120047998	  -1.001863981	   0.739319986
  -0.000976000	  -1.218047976	   0.771039985
  -0.083447998	  -1.398119973	   0.856927983
  -0.142495997	  -1.636751968	   0.865223983
  -0.251807995	  -1.846103964	   0.838871984
  -0.347943993	  -2.036911961	   0.796903985
  -0.453351991	  -2.212591957	   0.710527986
  -0.559735989	  -2.327759955	   0.632447988
  -0.670511987	  -2.407791954	   0.580231989
  -0.798855985	  -2.466351952	   0.509959990
  -0.851559984	  -2.523447951	   0.467503991
  -0.740783986	  -2.540039951	   0.492879990
  -0.677343987	  -2.605431950	   0.444567991
  -0.646111988	  -2.489775952	   0.381615993
  -0.583159989	  -2.282863956	   0.408455992
  -0.499223990	  -2.131583959	   0.454815991
  -0.466527991	  -1.976399962	   0.548511989
  -0.368439993	  -1.825607965	   0.634887988
  -0.204471996	  -1.700191967	   0.620735988
  -0.039039999	  -1.576239970	   0.624151988
   0.072223999	  -1.419103973	   0.664655987
   0.260591995	  -1.247815976	   0.670511987
   0.465551991	  -1.015039980	   0.721751986
   0.709551986	  -0.731999986	   0.846679984
   0.902311983	  -0.416751992	   1.012111980
   1.114103978	  -0.027327999	   1.210727977
   1.382991973	   0.397719992	   1.443503972
   1.669935968	   0.840823984	   1.758751966
   1.869039964	   1.279047975	   2.088151960
   1.953463962	   1.646023968	   2.277495956
   2.010559961	   1.905151963	   2.313607955
   1.975423962	   2.104743959	   2.308727955
   1.965175962	   2.277983956	   2.310679955
   1.975911962	   2.422919953	   2.290183956
   1.931991963	   2.465863952	   2.188679958
   1.776807966	   2.424383953	   1.999823961
   1.575263970	   2.366311954	   1.736303966
   1.408855973	   2.277007956	   1.519143971
   1.273191975	   2.165255958	   1.247815976
   1.097999979	   1.966639962	   0.995519981
   0.960383981	   1.688967967	   0.744687986
   0.855951983	   1.359079974	   0.548023989
   0.741271986	   0.978439981	   0.392839992
   0.700279986	   0.575351989	   0.296703994
   0.684663987	   0.205447996	   0.341111993
   0.661239987	  -0.051727999	   0.438711992
   0.588039989	  -0.162503997	   0.586575989
   0.473359991	  -0.169335997	   0.760303985
   0.346967993	  -0.178607997	   0.866199983
   0.234727995	  -0.266447995	   0.876935983
   0.101015998	  -0.413335992	   0.822279984
  -0.055631999	  -0.630983988	   0.756399985
  -0.182999996	  -0.903287983	   0.692471987
  -0.266447995	  -1.116543978	   0.688079987
  -0.317687994	  -1.244399976	   0.785679985
  -0.363071993	  -1.386407973	   0.873519983
  -0.464575991	  -1.539151970	   0.863759983
  -0.640255988	  -1.682135968	   0.847655984
  -0.796415985	  -1.822191965	   0.851559984
  -0.901823983	  -1.921255963	   0.897919983
  -0.986735981	  -1.994455962	   0.980879981
  -1.079943979	  -2.094983960	   1.010159981
  -1.143383978	  -2.225279957	   0.963311981
  -1.110199979	  -2.332639955	   0.868151983
  -1.036511980	  -2.413647953	   0.803247984
  -0.911583982	  -2.450247953	   0.810567984
  -0.874007983	  -2.354111955	   0.829111984
  -0.701255986	  -2.097911960	   0.940375982
  -0.521671990	  -1.930039963	   0.957943982
  -0.434319992	  -1.749479966	   0.933543982
  -0.379175993	  -1.547935970	   0.888647983
  -0.271815995	  -1.396655973	   0.790071985
  -0.132735997	  -1.322479974	   0.611463988
   0.003416000	  -1.254159976	   0.577303989
   0.283039995	  -1.128743978	   0.608535988
   0.586575989	  -0.909631982	   0.620735988
   0.847655984	  -0.551439989	   0.737367986
   1.100439979	  -0.074663999	   0.937447982
   1.334191974	   0.415287992	   1.142895978
   1.543055970	   0.851071984	   1.355663974
   1.678231968	   1.236591976	   1.582095969
   1.733375967	   1.586975969	   1.766071966
   1.740207966	   1.879287964	   1.897343963
   1.735327967	   2.107183959	   1.986647962
   1.795839965	   2.286767956	   2.033007961
   1.836831965	   2.386319954	   2.034959961
   1.769487966	   2.444879953	   2.019831961
   1.633335968	   2.444879953	   1.897343963
   1.453751972	   2.330687955	   1.712391967
   1.353711974	   2.221863957	   1.567943970
