A_x [g]	A_y [g]	A_z [g]
  -0.002440000	  -0.007808000	   0.989175981
  -0.022936000	  -0.006344000	   1.010647980
  -0.036111999	   0.002928000	   1.021383980
  -0.054655999	   0.020496000	   1.013087980
  -0.077591999	   0.028791999	   1.015039980
  -0.082959998	   0.030743999	   0.988687981
  -0.096135998	   0.025376000	   0.963799981
  -0.107359998	   0.030255999	   0.942327982
  -0.142983997	   0.025376000	   0.914999982
  -0.162991997	   0.040015999	   0.902311983
  -0.181047997	   0.066367999	   0.911095982
  -0.236191995	   0.096623998	   0.931591982
  -0.325495994	   0.121999998	   0.955991982
  -0.421143992	   0.140055997	   0.961847981
  -0.509959990	   0.146399997	   0.950135982
  -0.618783988	   0.149327997	   0.922807982
  -0.721263986	   0.137127997	   0.911583982
  -0.819351984	   0.139567997	   0.934031982
  -0.916463982	   0.145911997	   0.987711981
  -1.017967980	   0.143471997	   1.067255979
  -1.114103978	   0.139567997	   1.116055978
  -1.210239977	   0.135663997	   1.132647978
  -1.303935975	   0.147375997	   1.148263978
  -1.395191973	   0.179583997	   1.196575977
  -1.457167972	   0.232775996	   1.271727975
  -1.506455971	   0.284503995	   1.366887974
  -1.505967971	   0.315247994	   1.446431972
  -1.482055971	   0.321591994	   1.435695972
  -1.393727973	   0.298655994	   1.317111975
  -1.268311976	   0.265471995	   1.162903978
  -1.049199980	   0.267911995	   1.062375979
  -0.788607985	   0.224967996	   0.975999981
  -0.561199989	   0.219599996	   0.913047982
  -0.293287994	   0.235215995	   0.887183983
   0.030255999	   0.203983996	   0.841799984
   0.415287992	   0.142007997	   0.813983984
   0.831063984	   0.054167999	   0.838383984
   1.232199976	  -0.011224000	   0.879863983
   1.641631968	  -0.077591999	   0.970631981
   1.866111964	  -0.226431996	   1.028215980
   1.961759962	  -0.452863991	   1.031631980
   2.193559958	  -0.692471987	   1.081895979
   2.480991952	  -0.952087982	   1.135087978
   2.719623948	  -1.213167977	   1.103855979
   2.864559945	  -1.405927973	   1.063351979
   2.879687944	  -1.475711972	   1.055543980
   2.789895946	  -1.423495973	   1.003327981
   2.634223949	  -1.292223975	   0.893527983
   2.451223953	  -1.109223979	   0.731023986
   2.234551957	  -0.907679982	   0.570471989
   2.004703961	  -0.718823986	   0.467991991
   1.858791964	  -0.568031989	   0.487511991
   1.786567966	  -0.472383991	   0.567543989
   1.687503967	  -0.423583992	   0.637815988
   1.574775970	  -0.406503992	   0.648551987
   1.490839971	  -0.415287992	   0.673439987
   1.441063972	  -0.401135992	   0.740783986
   1.283927975	  -0.363559993	   0.754447985
   1.104343979	  -0.294751994	   0.789095985
   0.919391982	  -0.234727995	   0.840823984
   0.707111986	  -0.171287997	   0.820815984
   0.544119989	  -0.039039999	   0.843263984
   0.440663991	   0.102479998	   0.940863982
   0.343551993	   0.170311997	   1.051639980
   0.190319996	   0.185927996	   1.099463979
  -0.032207999	   0.215695996	   1.131671978
  -0.177631997	   0.233263995	   1.182423977
  -0.257175995	   0.246439995	   1.213655977
  -0.421143992	   0.286943994	   1.198527977
  -0.641719988	   0.354287993	   1.096535979
  -0.820815984	   0.375759993	   0.957943982
  -0.925247982	   0.386495993	   0.831551984
  -1.011623980	   0.421631992	   0.713943986
  -1.104343979	   0.485559991	   0.673927987
  -1.139479978	   0.565591989	   0.688079987
  -1.198039977	   0.659775987	   0.803247984
  -1.162903978	   0.778359985	   0.899383983
  -1.254647976	   0.814959984	   0.989663981
  -1.331751974	   0.896943983	   1.142895978
  -1.465951972	   0.950135982	   1.225855976
  -1.653343968	   0.979415981	   1.235127976
  -1.813895965	   0.963799981	   1.141431978
  -1.920279963	   0.937447982	   1.038951980
  -1.998847961	   0.914023982	   0.996983981
  -2.001287961	   0.882303983	   1.006255981
  -1.955903962	   0.813983984	   1.001375981
  -1.920767963	   0.729071986	   1.003327981
  -1.859279964	   0.675391987	   1.030167980
  -1.785103966	   0.684663987	   1.081407979
  -1.798767965	   0.645623988	   1.166807977
  -1.782175966	   0.674415987	   1.241471976
  -1.773879966	   0.713455986	   1.313207975
  -1.799743965	   0.724679986	   1.353711974
  -1.795351965	   0.714431986	   1.374695973
  -1.745575966	   0.745663986	   1.416175973
  -1.692383967	   0.743223986	   1.439599972
  -1.565015970	   0.729559986	   1.379087973
  -1.383479973	   0.637815988	   1.168271977
  -1.171199977	   0.439687992	   0.860343983
  -0.894503983	   0.215207996	   0.612927988
  -0.543143990	   0.019520000	   0.475311991
  -0.028303999	  -0.151767997	   0.467015991
   0.534359990	  -0.314271994	   0.603167988
   1.084335979	  -0.405527992	   0.727607986
   1.641631968	  -0.457255991	   0.883767983
   2.128167959	  -0.614879988	   1.025775980
   2.587375950	  -0.765183985	   1.087751979
   2.910431944	  -1.047735980	   1.130695978
   3.286191937	  -1.297591975	   1.144847978
   3.569719931	  -1.499623971	   1.295151975
   3.788831927	  -1.505479971	   1.521583971
   3.914247924	  -1.441551972	   1.613815969
   3.878623925	  -1.352247974	   1.479615971
   3.615591930	  -1.175591977	   1.258063976
   3.189079938	  -0.916463982	   0.970143981
   2.764519947	  -0.600239988	   0.738343986
   2.415111953	  -0.300119994	   0.676367987
   2.134511959	  -0.098575998	   0.719311986
   1.929551963	  -0.014640000	   0.688567987
   1.723615967	  -0.039527999	   0.623663988
   1.531343970	  -0.104919998	   0.639767988
   1.336631974	  -0.131271997	   0.711015986
   1.096535979	  -0.124439998	   0.755911985
   0.824719984	  -0.122975998	   0.734927986
   0.489463991	  -0.084423998	   0.688567987
   0.200567996	   0.043431999	   0.687591987
  -0.041967999	   0.170311997	   0.784703985
  -0.244975995	   0.337695993	   0.966727981
  -0.417727992	   0.479703991	   1.167295977
  -0.554855989	   0.528015990	   1.299055975
  -0.663191987	   0.535823990	   1.385431973
  -0.778847985	   0.547535989	   1.421543973
  -0.970631981	   0.558271989	   1.406415973
  -1.241471976	   0.508983990	   1.349319974
  -1.463999972	   0.508495990	   1.407879973
  -1.658711968	   0.519719990	   1.552815970
  -1.794863965	   0.526551990	   1.675791968
  -1.967127962	   0.457255991	   1.743623966
  -2.174527958	   0.382591993	   1.807551965
  -2.281399956	   0.364535993	   1.828047965
  -2.395103954	   0.273279995	   1.627479969
  -2.565415950	   0.112239998	   1.332727974
  -2.735727947	   0.127855998	   1.171687977
  -2.725479947	   0.113703998	   1.113615979
  -2.636175949	   0.022448000	   1.056031980
  -2.567855950	  -0.069295999	   1.031143980
  -2.479039952	  -0.158111997	   1.013575980
  -2.399983954	  -0.188855996	   1.046759980
  -2.366799954	  -0.141031997	   1.132647978
  -2.265783956	  -0.071735999	   1.202431977
  -2.157935958	  -0.032207999	   1.221463976
  -2.013487961	   0.004880000	   1.217559977
  -1.845127964	   0.033183999	   1.246839976
  -1.677743968	   0.082471998	   1.260991976
  -1.498159971	   0.114679998	   1.245863976
  -1.256111976	   0.159087997	   1.223415976
  -0.957943982	   0.239607995	   1.240495976
  -0.636839988	   0.312319994	   1.331751974
