Time	A_x [g]	A_y [g]	A_z [g]
  24.971374000	  -0.125415998	  -0.060511999	   1.010647980
  24.979981000	  -0.138591997	  -0.064903999	   1.007231981
  24.988588000	  -0.153231997	  -0.069783999	   1.007719981
  24.997195000	  -0.160063997	  -0.075151999	   1.002839981
  25.005802000	  -0.153719997	  -0.067831999	   0.996007981
  25.014409000	  -0.137127997	  -0.066855999	   0.982343981
  25.023016000	  -0.126391998	  -0.074663999	   0.970143981
  25.031623000	  -0.118583998	  -0.087351998	   0.966239981
  25.040230000	  -0.117607998	  -0.096623998	   0.970631981
  25.048837000	  -0.108823998	  -0.095159998	   0.976487981
  25.057444000	  -0.104431998	  -0.092231998	   0.980879981
  25.066051000	  -0.117119998	  -0.095159998	   0.983807981
  25.074658000	  -0.128831998	  -0.094671998	   0.988199981
  25.083265000	  -0.129807997	  -0.082959998	   0.996495981
  25.091872000	  -0.132735997	  -0.077103999	   1.006255981
  25.100479000	  -0.132735997	  -0.080519998	   1.010159981
  25.109086000	  -0.123463998	  -0.080031998	   1.011135980
  25.117693000	  -0.121999998	  -0.087351998	   1.014063980
  25.126300000	  -0.127855998	  -0.097111998	   1.017967980
  25.134907000	  -0.132247997	  -0.102479998	   1.023823980
  25.143514000	  -0.129319998	  -0.103455998	   1.017967980
  25.152121000	  -0.127367998	  -0.097599998	   1.012599980
  25.160728000	  -0.128343998	  -0.091743998	   1.005767981
  25.169335000	  -0.123951998	  -0.085887998	   0.996983981
  25.177942000	  -0.119071998	  -0.083447998	   0.996983981
  25.186549000	  -0.120535998	  -0.086375998	   0.995031981
  25.195156000	  -0.127367998	  -0.092231998	   0.992103981
  25.203763000	  -0.132247997	  -0.092719998	   0.999911981
  25.212370000	  -0.140055997	  -0.092719998	   1.011623980
  25.220977000	  -0.147863997	  -0.099063998	   1.011135980
  25.229584000	  -0.143959997	  -0.090767998	   1.009671981
  25.238191000	  -0.136639997	  -0.081983998	   1.016991980
  25.246798000	  -0.129319998	  -0.080031998	   1.017967980
  25.255405000	  -0.127855998	  -0.076615999	   1.028215980
  25.264012000	  -0.119071998	  -0.071247999	   1.015527980
  25.272619000	  -0.130295997	  -0.069783999	   1.012111980
  25.281226000	  -0.139079997	  -0.071735999	   1.020407980
  25.289833000	  -0.135663997	  -0.071735999	   1.013575980
  25.298440000	  -0.134687997	  -0.077103999	   1.011135980
  25.307047000	  -0.126879998	  -0.079055998	   1.005279981
  25.315654000	  -0.119559998	  -0.076615999	   1.007231981
  25.324261000	  -0.128831998	  -0.075639999	   1.011135980
  25.332868000	  -0.128343998	  -0.072711999	   1.012599980
  25.341475000	  -0.124927998	  -0.073199999	   1.014063980
  25.350082000	  -0.130783997	  -0.080519998	   1.012111980
  25.358689000	  -0.132735997	  -0.088815998	   1.005767981
  25.367296000	  -0.140055997	  -0.093207998	   1.007231981
  25.375903000	  -0.131271997	  -0.085399998	   1.010159981
  25.384510000	  -0.127367998	  -0.079543998	   1.001863981
  25.393117000	  -0.125415998	  -0.081495998	   0.999911981
  25.401724000	  -0.121511998	  -0.080031998	   1.000399981
  25.410331000	  -0.119559998	  -0.082471998	   1.003815981
  25.418938000	  -0.117607998	  -0.082959998	   1.002839981
  25.427545000	  -0.117607998	  -0.081983998	   1.001863981
  25.436152000	  -0.117119998	  -0.080519998	   1.005767981
  25.444759000	  -0.119071998	  -0.075639999	   1.010159981
  25.453366000	  -0.123951998	  -0.078079998	   1.014063980
  25.461973000	  -0.131271997	  -0.083447998	   1.018455980
  25.470580000	  -0.135175997	  -0.088327998	   1.019431980
  25.479187000	  -0.132735997	  -0.093207998	   1.021383980
  25.487794000	  -0.132735997	  -0.100039998	   1.019919980
  25.496401000	  -0.131271997	  -0.097599998	   1.023335980
  25.505008000	  -0.134687997	  -0.094671998	   1.019919980
  25.513615000	  -0.136151997	  -0.091255998	   1.015039980
  25.522222000	  -0.136151997	  -0.080519998	   1.008695981
  25.530829000	  -0.132247997	  -0.074175999	   1.002351981
  25.539436000	  -0.132247997	  -0.073199999	   0.993079981
  25.548043000	  -0.135175997	  -0.071735999	   1.000887981
  25.556650000	  -0.135663997	  -0.071735999	   0.994055981
  25.565257000	  -0.138591997	  -0.068319999	   0.995031981
  25.573864000	  -0.137615997	  -0.061975999	   0.996495981
  25.582471000	  -0.135663997	  -0.064903999	   0.996007981
  25.591078000	  -0.137127997	  -0.071247999	   0.997959981
  25.599685000	  -0.135663997	  -0.081007998	   1.005767981
  25.608292000	  -0.139079997	  -0.096623998	   1.008695981
  25.616899000	  -0.137127997	  -0.097111998	   1.008695981
  25.625506000	  -0.133711997	  -0.085887998	   1.005279981
  25.634113000	  -0.142983997	  -0.077591999	   1.000399981
  25.642720000	  -0.143959997	  -0.065879999	   0.996495981
  25.651327000	  -0.135175997	  -0.054167999	   0.990639981
  25.659934000	  -0.124439998	  -0.049775999	   0.984783981
  25.668541000	  -0.118095998	  -0.054655999	   0.981367981
  25.677148000	  -0.119071998	  -0.066367999	   0.980879981
  25.685755000	  -0.115655998	  -0.074175999	   0.986247981
  25.694362000	  -0.122487998	  -0.081495998	   0.993567981
  25.702969000	  -0.133223997	  -0.089303998	   0.997959981
  25.711576000	  -0.137615997	  -0.085887998	   0.999423981
  25.720183000	  -0.138103997	  -0.083935998	   1.003815981
  25.728790000	  -0.139567997	  -0.089791998	   1.008207981
  25.737397000	  -0.145423997	  -0.094183998	   1.012599980
  25.746004000	  -0.139079997	  -0.090279998	   1.010647980
  25.754611000	  -0.128831998	  -0.082959998	   1.004791981
  25.763218000	  -0.118095998	  -0.074663999	   1.011135980
  25.771825000	  -0.116631998	  -0.073199999	   1.014063980
  25.780432000	  -0.125415998	  -0.078567998	   1.016015980
  25.789039000	  -0.131271997	  -0.080031998	   1.023335980
  25.797646000	  -0.134687997	  -0.078079998	   1.030167980
  25.806253000	  -0.137127997	  -0.080519998	   1.030655980
  25.814860000	  -0.142007997	  -0.082959998	   1.026751980
  25.823467000	  -0.141519997	  -0.084911998	   1.025775980
  25.832074000	  -0.139079997	  -0.085399998	   1.024311980
  25.840681000	  -0.132247997	  -0.082959998	   1.015527980
  25.849288000	  -0.128831998	  -0.080031998	   1.009183981
  25.857895000	  -0.124927998	  -0.078079998	   1.012111980
  25.866502000	  -0.126879998	  -0.078567998	   1.010647980
