A_x [g]	A_y [g]	A_z [g]
  -0.043187999	  -0.165004997	   1.006072981
  -0.042394999	  -0.164211997	   1.006377981
  -0.042577999	  -0.164760997	   1.005706981
  -0.042394999	  -0.164821997	   1.006011981
  -0.042760999	  -0.164638997	   1.006072981
  -0.042577999	  -0.164577997	   1.005645981
  -0.042760999	  -0.164760997	   1.006560981
  -0.042699999	  -0.164211997	   1.005645981
  -0.042089999	  -0.164333997	   1.005401981
  -0.042272999	  -0.164516997	   1.005767981
  -0.042272999	  -0.164089997	   1.006011981
  -0.042516999	  -0.164211997	   1.005767981
  -0.042333999	  -0.164516997	   1.005889981
  -0.042577999	  -0.164821997	   1.005828981
  -0.042394999	  -0.164211997	   1.005889981
  -0.042699999	  -0.164333997	   1.005706981
  -0.042394999	  -0.164455997	   1.006011981
  -0.042394999	  -0.164272997	   1.006316981
  -0.042150999	  -0.164150997	   1.006072981
  -0.042272999	  -0.164150997	   1.005706981
  -0.042516999	  -0.164577997	   1.005706981
  -0.042699999	  -0.164394997	   1.006133981
  -0.042211999	  -0.164455997	   1.006133981
  -0.042089999	  -0.164394997	   1.006377981
  -0.042211999	  -0.164455997	   1.005950981
  -0.042272999	  -0.164333997	   1.006133981
  -0.042150999	  -0.164272997	   1.006072981
  -0.042516999	  -0.163967997	   1.006316981
   0.055631999	  -0.108762998	   0.922990982
  -0.099307998	  -0.170982997	   1.132647978
  -0.133467997	  -0.108884998	   1.121972978
  -0.004819000	  -0.234849995	   0.826183984
  -0.024522000	  -0.210083996	   0.957089982
  -0.052581999	  -0.147985997	   1.098548979
  -0.030560999	  -0.185744996	   0.977829981
  -0.030926999	  -0.189953996	   0.983868981
  -0.039771999	  -0.175435997	   1.031631980
  -0.029279999	  -0.189892996	   0.977951981
  -0.037575999	  -0.179156997	   1.018821980
  -0.033854999	  -0.183975996	   1.000399981
  -0.032756999	  -0.184585996	   0.997044981
  -0.036294999	  -0.180742997	   1.014673980
  -0.032085999	  -0.186232996	   0.991859981
  -0.036294999	  -0.181047997	   1.011135980
  -0.033061999	  -0.184097996	   1.000887981
  -0.033915999	  -0.183975996	   1.001375981
  -0.036050999	  -0.181657996	   1.008512981
  -0.033305999	  -0.184707996	   0.998264981
  -0.035013999	  -0.182511996	   1.007231981
  -0.033976999	  -0.183975996	   1.001924981
  -0.034830999	  -0.183426996	   1.003083981
  -0.034586999	  -0.182755996	   1.004974981
  -0.033488999	  -0.183792996	   1.000216981
  -0.035318999	  -0.183060996	   1.005584981
  -0.034281999	  -0.184280996	   1.001863981
  -0.034159999	  -0.183426996	   1.004059981
  -0.034403999	  -0.183121996	   1.003876981
  -0.034464999	  -0.183853996	   1.002290981
  -0.034464999	  -0.182999996	   1.004364981
  -0.034464999	  -0.183121996	   1.002412981
  -0.034769999	  -0.183060996	   1.003998981
  -0.034830999	  -0.183487996	   1.003449981
  -0.034525999	  -0.183548996	   1.003205981
  -0.034403999	  -0.183304996	   1.003571981
  -0.033915999	  -0.183731996	   1.003205981
  -0.034525999	  -0.183548996	   1.003266981
  -0.035074999	  -0.183548996	   1.003632981
  -0.034403999	  -0.183487996	   1.003266981
  -0.034586999	  -0.183365996	   1.003876981
  -0.035074999	  -0.183243996	   1.003571981
  -0.034708999	  -0.183426996	   1.003571981
  -0.034220999	  -0.183487996	   1.003754981
  -0.034159999	  -0.183853996	   1.003449981
  -0.034403999	  -0.183182996	   1.003388981
  -0.034525999	  -0.183304996	   1.003693981
  -0.034647999	  -0.183365996	   1.003510981
  -0.034342999	  -0.183182996	   1.003571981
  -0.034159999	  -0.183731996	   1.003510981
  -0.034647999	  -0.183243996	   1.003754981
  -0.034342999	  -0.183670996	   1.003571981
  -0.034464999	  -0.182999996	   1.004120981
  -0.034525999	  -0.183365996	   1.003632981
  -0.034342999	  -0.183609996	   1.003632981
  -0.034220999	  -0.183365996	   1.002900981
  -0.034586999	  -0.183609996	   1.003510981
  -0.034281999	  -0.183304996	   1.003998981
  -0.034220999	  -0.183365996	   1.003632981
  -0.034464999	  -0.183548996	   1.003632981
  -0.034281999	  -0.183731996	   1.004181981
  -0.034708999	  -0.183731996	   1.003510981
  -0.034891999	  -0.183426996	   1.003449981
  -0.034159999	  -0.182938996	   1.002900981
  -0.034525999	  -0.183182996	   1.003571981
  -0.034037999	  -0.183304996	   1.003144981
  -0.034586999	  -0.183304996	   1.003571981
  -0.034769999	  -0.183365996	   1.003754981
  -0.034525999	  -0.183365996	   1.003693981
  -0.034403999	  -0.183426996	   1.003388981
  -0.034586999	  -0.183548996	   1.003571981
  -0.034281999	  -0.183121996	   1.003754981
  -0.034464999	  -0.183609996	   1.004059981
  -0.034342999	  -0.183792996	   1.003266981
  -0.034647999	  -0.183243996	   1.003388981
  -0.034525999	  -0.183426996	   1.003205981
  -0.034647999	  -0.183304996	   1.003815981
  -0.034708999	  -0.183609996	   1.003815981
  -0.034586999	  -0.183304996	   1.003449981
  -0.034586999	  -0.182999996	   1.003693981
  -0.033915999	  -0.183365996	   1.003632981
  -0.034891999	  -0.183365996	   1.003937981
  -0.034830999	  -0.183182996	   1.003693981
  -0.034220999	  -0.183731996	   1.003876981
  -0.034647999	  -0.183548996	   1.003205981
  -0.034891999	  -0.183365996	   1.003571981
  -0.034647999	  -0.183792996	   1.003571981
  -0.034769999	  -0.184219996	   1.003876981
  -0.034586999	  -0.182938996	   1.003693981
  -0.034220999	  -0.182877996	   1.003998981
  -0.034525999	  -0.183121996	   1.003266981
  -0.034159999	  -0.183609996	   1.003876981
  -0.034342999	  -0.182938996	   1.002839981
  -0.033915999	  -0.183121996	   1.003693981
  -0.034342999	  -0.183487996	   1.003083981
  -0.034220999	  -0.183487996	   1.003449981
  -0.034525999	  -0.182999996	   1.004059981
  -0.033305999	  -0.183731996	   1.002900981
  -0.035013999	  -0.183243996	   1.003449981
  -0.034647999	  -0.183670996	   1.003632981
  -0.034403999	  -0.183487996	   1.003998981
  -0.034403999	  -0.183487996	   1.003571981
  -0.034403999	  -0.183487996	   1.002961981
  -0.034891999	  -0.183365996	   1.004425981
  -0.034525999	  -0.183853996	   1.003205981
  -0.034342999	  -0.182999996	   1.003876981
  -0.034281999	  -0.182938996	   1.004059981
  -0.034220999	  -0.183365996	   1.003266981
  -0.034830999	  -0.183121996	   1.004425981
  -0.034464999	  -0.183731996	   1.003083981
  -0.034586999	  -0.183182996	   1.004120981
  -0.034403999	  -0.183304996	   1.003876981
  -0.034769999	  -0.183304996	   1.004120981
  -0.034769999	  -0.183487996	   1.004181981
  -0.034525999	  -0.183365996	   1.003632981
  -0.034586999	  -0.183853996	   1.004120981
  -0.034098999	  -0.183609996	   1.004059981
  -0.034342999	  -0.183121996	   1.004425981
  -0.034220999	  -0.183487996	   1.003754981
  -0.034464999	  -0.183243996	   1.003632981
  -0.034525999	  -0.183243996	   1.004059981
  -0.034464999	  -0.183182996	   1.003693981
  -0.034464999	  -0.183243996	   1.004242981
  -0.034830999	  -0.183853996	   1.003510981
  -0.034403999	  -0.183548996	   1.003998981
  -0.034403999	  -0.183670996	   1.003754981
  -0.034708999	  -0.183731996	   1.003571981
  -0.034342999	  -0.183548996	   1.003693981
  -0.034525999	  -0.183548996	   1.003998981
  -0.034769999	  -0.183487996	   1.003815981
  -0.034159999	  -0.183304996	   1.004059981
  -0.034769999	  -0.183731996	   1.003754981
  -0.034342999	  -0.183426996	   1.003876981
  -0.034891999	  -0.183853996	   1.003937981
  -0.034891999	  -0.183121996	   1.003876981
  -0.034403999	  -0.182999996	   1.003449981
  -0.034708999	  -0.183365996	   1.003449981
  -0.034525999	  -0.182999996	   1.003449981
  -0.034525999	  -0.183182996	   1.003876981
  -0.034098999	  -0.183426996	   1.003815981
  -0.034708999	  -0.183243996	   1.003449981
  -0.034769999	  -0.183609996	   1.003876981
  -0.034647999	  -0.183975996	   1.003388981
  -0.034159999	  -0.183670996	   1.003571981
  -0.034342999	  -0.183243996	   1.003388981
  -0.034586999	  -0.183365996	   1.003571981
  -0.034342999	  -0.183304996	   1.003327981
  -0.034220999	  -0.183121996	   1.003571981
  -0.034647999	  -0.183487996	   1.003510981
  -0.034586999	  -0.183426996	   1.003693981
  -0.034220999	  -0.183426996	   1.003937981
  -0.034037999	  -0.183243996	   1.003937981
  -0.034586999	  -0.183243996	   1.003388981
  -0.034403999	  -0.183426996	   1.003022981
  -0.034525999	  -0.183609996	   1.003327981
  -0.034647999	  -0.183243996	   1.003205981
  -0.034830999	  -0.183365996	   1.003632981
  -0.034952999	  -0.183487996	   1.003327981
  -0.034708999	  -0.183670996	   1.003693981
  -0.034586999	  -0.183365996	   1.003449981
  -0.033671999	  -0.183487996	   1.003510981
  -0.034464999	  -0.183365996	   1.003327981
  -0.034708999	  -0.183304996	   1.003937981
  -0.034342999	  -0.183853996	   1.002778981
  -0.034586999	  -0.184036996	   1.003144981
  -0.034647999	  -0.183182996	   1.003571981
  -0.034586999	  -0.182938996	   1.002778981
  -0.033976999	  -0.183365996	   1.003510981
  -0.034159999	  -0.183182996	   1.003144981
  -0.034891999	  -0.183304996	   1.003449981
  -0.034769999	  -0.183426996	   1.003022981
  -0.034891999	  -0.182999996	   1.003449981
  -0.034281999	  -0.183426996	   1.003571981
  -0.034403999	  -0.183731996	   1.003876981
  -0.034647999	  -0.183670996	   1.004242981
  -0.034403999	  -0.183487996	   1.002961981
  -0.034281999	  -0.183060996	   1.004059981
  -0.033915999	  -0.183365996	   1.003022981
  -0.034647999	  -0.182877996	   1.003388981
  -0.034525999	  -0.183548996	   1.003815981
  -0.034525999	  -0.183487996	   1.003327981
  -0.034342999	  -0.183121996	   1.003388981
  -0.034342999	  -0.183304996	   1.003144981
  -0.034464999	  -0.183548996	   1.003510981
  -0.034403999	  -0.183243996	   1.003571981
  -0.034098999	  -0.183365996	   1.003327981
  -0.034525999	  -0.183731996	   1.003571981
  -0.033671999	  -0.183609996	   1.003205981
  -0.034708999	  -0.183609996	   1.003022981
  -0.034525999	  -0.182938996	   1.003632981
  -0.034708999	  -0.183731996	   1.003083981
  -0.034220999	  -0.183121996	   1.003327981
  -0.034220999	  -0.183426996	   1.003388981
  -0.034525999	  -0.183365996	   1.003327981
  -0.034830999	  -0.183060996	   1.003876981
  -0.034891999	  -0.183487996	   1.003083981
  -0.034525999	  -0.183304996	   1.003205981
  -0.034403999	  -0.183487996	   1.003327981
  -0.034220999	  -0.183731996	   1.003205981
  -0.035013999	  -0.183731996	   1.003205981
  -0.034464999	  -0.183548996	   1.003571981
  -0.034159999	  -0.183853996	   1.002900981
  -0.034769999	  -0.183609996	   1.003571981
  -0.034952999	  -0.183426996	   1.003510981
  -0.034098999	  -0.183243996	   1.003327981
  -0.034281999	  -0.183609996	   1.003571981
  -0.034281999	  -0.183487996	   1.003449981
  -0.034708999	  -0.183121996	   1.003388981
  -0.034525999	  -0.183548996	   1.003815981
  -0.034342999	  -0.183365996	   1.003449981
  -0.034586999	  -0.183365996	   1.003632981
  -0.034281999	  -0.183060996	   1.002839981
  -0.034525999	  -0.183365996	   1.004059981
  -0.034098999	  -0.183304996	   1.003449981
  -0.033976999	  -0.183121996	   1.003693981
  -0.034281999	  -0.183670996	   1.003327981
  -0.034159999	  -0.183487996	   1.003388981
  -0.034586999	  -0.183609996	   1.003815981
  -0.034281999	  -0.182999996	   1.003388981
  -0.034403999	  -0.183548996	   1.003876981
  -0.034281999	  -0.183487996	   1.003205981
  -0.034403999	  -0.182877996	   1.003510981
  -0.034464999	  -0.183121996	   1.003449981
  -0.034464999	  -0.183182996	   1.003571981
  -0.034403999	  -0.183487996	   1.003510981
  -0.034403999	  -0.183426996	   1.003144981
  -0.034098999	  -0.182755996	   1.003632981
  -0.034220999	  -0.182877996	   1.003449981
  -0.034464999	  -0.183365996	   1.003815981
  -0.034220999	  -0.183426996	   1.003144981
  -0.034220999	  -0.183609996	   1.003815981
  -0.033732999	  -0.183304996	   1.003327981
  -0.034037999	  -0.183304996	   1.003449981
  -0.034403999	  -0.183243996	   1.003510981
  -0.034525999	  -0.183609996	   1.003205981
  -0.034830999	  -0.182999996	   1.003937981
  -0.034220999	  -0.183426996	   1.003266981
  -0.034159999	  -0.183182996	   1.003205981
  -0.034342999	  -0.183731996	   1.003388981
  -0.034403999	  -0.182877996	   1.003144981
