A_x [g]	A_y [g]	A_z [g]
  -0.022509000	  -0.062341999	   1.017479980
  -0.022204000	  -0.062402999	   1.016320980
  -0.022448000	  -0.062768999	   1.017479980
  -0.022814000	  -0.062463999	   1.017540980
  -0.022692000	  -0.062341999	   1.017418980
  -0.022387000	  -0.063012999	   1.016747980
  -0.022631000	  -0.062707999	   1.017906980
  -0.022509000	  -0.062402999	   1.016564980
  -0.021838000	  -0.062585999	   1.017052980
  -0.022570000	  -0.062707999	   1.016747980
  -0.022326000	  -0.062707999	   1.017357980
  -0.021838000	  -0.062646999	   1.016808980
  -0.022509000	  -0.062585999	   1.016198980
  -0.022204000	  -0.062585999	   1.017296980
  -0.022387000	  -0.062707999	   1.017662980
  -0.022448000	  -0.062341999	   1.017052980
  -0.022509000	  -0.062524999	   1.016320980
  -0.022265000	  -0.062829999	   1.016808980
  -0.022326000	  -0.062158999	   1.016747980
  -0.022509000	  -0.062463999	   1.016564980
  -0.021777000	  -0.062341999	   1.017601980
  -0.022753000	  -0.062219999	   1.016015980
  -0.022387000	  -0.062646999	   1.017235980
  -0.021960000	  -0.062951999	   1.016808980
  -0.022204000	  -0.062768999	   1.017113980
  -0.022570000	  -0.063012999	   1.016808980
  -0.022570000	  -0.062768999	   1.016808980
  -0.022387000	  -0.062524999	   1.017052980
  -0.022387000	  -0.062463999	   1.017174980
  -0.022875000	  -0.062341999	   1.016503980
  -0.022570000	  -0.062341999	   1.016930980
  -0.022387000	  -0.062585999	   1.016686980
  -0.022631000	  -0.062097999	   1.016686980
  -0.022570000	  -0.062768999	   1.016991980
  -0.022692000	  -0.062707999	   1.016625980
  -0.022631000	  -0.062341999	   1.016991980
  -0.022326000	  -0.063073999	   1.016259980
  -0.022265000	  -0.062646999	   1.016198980
  -0.022448000	  -0.062829999	   1.016747980
  -0.021899000	  -0.062646999	   1.017113980
  -0.022814000	  -0.062585999	   1.016564980
  -0.022631000	  -0.062951999	   1.016625980
  -0.022265000	  -0.062402999	   1.016625980
  -0.022448000	  -0.062890999	   1.017113980
  -0.022204000	  -0.062585999	   1.016259980
  -0.022448000	  -0.062585999	   1.016686980
  -0.022021000	  -0.062524999	   1.017113980
  -0.022265000	  -0.062707999	   1.016442980
  -0.022326000	  -0.062341999	   1.016503980
  -0.022570000	  -0.062341999	   1.017296980
  -0.022265000	  -0.062158999	   1.017479980
  -0.022021000	  -0.062402999	   1.017296980
  -0.022082000	  -0.062951999	   1.017113980
  -0.021960000	  -0.062463999	   1.016808980
  -0.022326000	  -0.063012999	   1.017235980
  -0.022631000	  -0.062829999	   1.017235980
  -0.022021000	  -0.063073999	   1.017235980
  -0.022326000	  -0.062768999	   1.017113980
  -0.022509000	  -0.062768999	   1.016442980
  -0.022692000	  -0.062585999	   1.017235980
  -0.022631000	  -0.062341999	   1.016991980
  -0.022265000	  -0.062890999	   1.016991980
  -0.022265000	  -0.062402999	   1.016991980
  -0.022631000	  -0.062402999	   1.017052980
  -0.022936000	  -0.062280999	   1.017296980
  -0.022509000	  -0.062463999	   1.016869980
  -0.022326000	  -0.062402999	   1.017174980
  -0.021777000	  -0.062463999	   1.017235980
  -0.022387000	  -0.062707999	   1.017540980
  -0.022631000	  -0.062646999	   1.016869980
  -0.022509000	  -0.062463999	   1.016869980
  -0.022143000	  -0.062707999	   1.017418980
  -0.022143000	  -0.063195999	   1.017357980
  -0.022204000	  -0.062890999	   1.016869980
  -0.022204000	  -0.062402999	   1.016869980
  -0.022570000	  -0.062707999	   1.017662980
  -0.022448000	  -0.062829999	   1.016930980
  -0.022326000	  -0.062341999	   1.016991980
  -0.022326000	  -0.062158999	   1.016503980
  -0.022509000	  -0.062707999	   1.016930980
  -0.022692000	  -0.062524999	   1.017235980
  -0.022631000	  -0.062158999	   1.016930980
  -0.021960000	  -0.062341999	   1.017662980
  -0.022387000	  -0.062280999	   1.017174980
  -0.022448000	  -0.062524999	   1.017052980
  -0.022204000	  -0.062524999	   1.016930980
  -0.022509000	  -0.062768999	   1.017540980
  -0.022631000	  -0.062402999	   1.016869980
  -0.022082000	  -0.062280999	   1.016930980
  -0.022448000	  -0.062524999	   1.017052980
  -0.022387000	  -0.062585999	   1.017113980
  -0.022448000	  -0.062524999	   1.017540980
  -0.022631000	  -0.062829999	   1.017113980
  -0.022082000	  -0.062219999	   1.016808980
  -0.022814000	  -0.062585999	   1.017601980
  -0.022204000	  -0.062341999	   1.017479980
  -0.022265000	  -0.062158999	   1.016808980
  -0.022448000	  -0.063073999	   1.017784980
  -0.022692000	  -0.062585999	   1.017235980
  -0.022448000	  -0.062585999	   1.016686980
  -0.022448000	  -0.062829999	   1.018211980
  -0.022448000	  -0.063134999	   1.018211980
  -0.022631000	  -0.063073999	   1.017479980
  -0.022082000	  -0.062463999	   1.016442980
  -0.022204000	  -0.062280999	   1.016869980
  -0.022570000	  -0.061609999	   1.015710980
  -0.021716000	  -0.062341999	   1.017235980
  -0.021716000	  -0.061914999	   1.017052980
  -0.022204000	  -0.062219999	   1.017845980
  -0.021960000	  -0.062036999	   1.017113980
  -0.022204000	  -0.062341999	   1.017845980
  -0.022021000	  -0.062341999	   1.016930980
  -0.022265000	  -0.062646999	   1.022176980
  -0.021350000	  -0.062707999	   1.010464980
  -0.021594000	  -0.061121999	   1.017296980
  -0.022265000	  -0.062036999	   1.018577980
  -0.021838000	  -0.062707999	   1.016137980
  -0.022387000	  -0.061792999	   1.016930980
  -0.022143000	  -0.062463999	   1.018150980
  -0.021899000	  -0.062341999	   1.016259980
  -0.022326000	  -0.062463999	   1.017967980
  -0.022265000	  -0.062524999	   1.016259980
  -0.022448000	  -0.062280999	   1.018089980
  -0.022265000	  -0.062707999	   1.018394980
  -0.022692000	  -0.063195999	   1.017601980
  -0.022387000	  -0.062341999	   1.017601980
  -0.022570000	  -0.062341999	   1.017052980
  -0.022326000	  -0.062829999	   1.017357980
  -0.022082000	  -0.062646999	   1.016869980
  -0.022387000	  -0.062463999	   1.017357980
  -0.022631000	  -0.062829999	   1.016808980
  -0.022570000	  -0.063012999	   1.017296980
  -0.022204000	  -0.062890999	   1.016686980
  -0.022692000	  -0.062829999	   1.017601980
  -0.022326000	  -0.062829999	   1.016930980
  -0.022570000	  -0.062707999	   1.017723980
  -0.022265000	  -0.062768999	   1.016930980
  -0.022570000	  -0.062707999	   1.016991980
  -0.022204000	  -0.062524999	   1.017540980
  -0.022326000	  -0.062768999	   1.017906980
  -0.022570000	  -0.062463999	   1.017113980
  -0.022753000	  -0.062951999	   1.017357980
  -0.022631000	  -0.062890999	   1.017052980
  -0.022448000	  -0.062097999	   1.017235980
  -0.022570000	  -0.062707999	   1.017357980
  -0.021838000	  -0.062707999	   1.016686980
  -0.022570000	  -0.062829999	   1.017174980
  -0.022204000	  -0.063012999	   1.017479980
  -0.022326000	  -0.062707999	   1.016930980
