A_x [g]	A_y [g]	A_z [g]
  -0.060511999	  -0.117607998	   1.006743981
  -0.053191999	  -0.121511998	   0.997471981
  -0.052703999	  -0.125903998	   0.998447981
  -0.047823999	  -0.126879998	   1.007719981
  -0.044407999	  -0.129807997	   1.016503980
  -0.040991999	  -0.127855998	   1.022847980
  -0.037575999	  -0.129807997	   1.020407980
  -0.033671999	  -0.131271997	   1.014551980
  -0.040503999	  -0.134199997	   1.007231981
  -0.045871999	  -0.130783997	   1.002839981
  -0.044407999	  -0.125903998	   1.004303981
  -0.039039999	  -0.122975998	   1.011135980
  -0.036111999	  -0.120535998	   1.017967980
  -0.035623999	  -0.119071998	   1.020407980
  -0.033671999	  -0.120047998	   1.019919980
  -0.029279999	  -0.121511998	   1.017967980
  -0.026351999	  -0.121023998	   1.014551980
  -0.027327999	  -0.119559998	   1.015039980
  -0.026839999	  -0.117607998	   1.016015980
  -0.029767999	  -0.119559998	   1.015527980
  -0.033671999	  -0.121511998	   1.011135980
  -0.035135999	  -0.121999998	   1.004791981
  -0.036599999	  -0.126391998	   1.005767981
  -0.039039999	  -0.127855998	   1.007719981
  -0.038063999	  -0.126391998	   1.013575980
  -0.034159999	  -0.125415998	   1.019431980
  -0.035623999	  -0.127855998	   1.018943980
  -0.037575999	  -0.125903998	   1.015527980
  -0.037575999	  -0.125415998	   1.015039980
  -0.041479999	  -0.124439998	   1.014063980
  -0.042943999	  -0.117119998	   1.013575980
  -0.036599999	  -0.116143998	   1.012111980
  -0.043431999	  -0.118095998	   1.013087980
  -0.040503999	  -0.114679998	   1.014551980
  -0.037087999	  -0.115167998	   1.010159981
  -0.037087999	  -0.116143998	   1.005279981
  -0.038063999	  -0.119071998	   1.009671981
  -0.036111999	  -0.121511998	   1.016991980
  -0.036599999	  -0.121999998	   1.019919980
  -0.037087999	  -0.119559998	   1.017479980
  -0.037575999	  -0.121511998	   1.015039980
  -0.036111999	  -0.120047998	   1.014551980
  -0.037575999	  -0.118095998	   1.013087980
  -0.040015999	  -0.117607998	   1.014551980
  -0.039039999	  -0.119559998	   1.015527980
  -0.036111999	  -0.122975998	   1.016503980
  -0.032695999	  -0.124927998	   1.014063980
  -0.027327999	  -0.125903998	   1.013087980
  -0.024888000	  -0.125903998	   1.013087980
  -0.021960000	  -0.125903998	   1.014063980
  -0.020496000	  -0.123463998	   1.015527980
  -0.020984000	  -0.121999998	   1.013575980
  -0.024400000	  -0.120535998	   1.011623980
  -0.023912000	  -0.121023998	   1.010159981
  -0.024888000	  -0.121023998	   1.010647980
  -0.024400000	  -0.119559998	   1.011623980
  -0.024888000	  -0.120047998	   1.009671981
  -0.025376000	  -0.120535998	   1.010159981
  -0.026839999	  -0.118583998	   1.007719981
  -0.030255999	  -0.117119998	   1.009183981
  -0.031231999	  -0.118583998	   1.010159981
  -0.034159999	  -0.118583998	   1.010159981
  -0.038063999	  -0.118583998	   1.010647980
  -0.038063999	  -0.121511998	   1.011623980
