Time	A_x [g]	A_y [g]	A_z [g]
  71.645972000	  -0.009272000	  -0.058071999	   1.017967980
  71.654586000	  -0.008784000	  -0.057095999	   1.016991980
  71.663200000	  -0.009272000	  -0.057095999	   1.014063980
  71.671814000	  -0.008784000	  -0.057583999	   1.016015980
  71.680428000	  -0.009760000	  -0.057583999	   1.016503980
  71.689042000	  -0.009272000	  -0.057583999	   1.017479980
  71.697656000	  -0.009272000	  -0.057095999	   1.016991980
  71.706270000	  -0.009272000	  -0.056607999	   1.018943980
  71.714884000	  -0.009760000	  -0.057583999	   1.018943980
  71.723498000	  -0.009272000	  -0.058559999	   1.019431980
  71.732112000	  -0.008784000	  -0.058559999	   1.019431980
  71.740726000	  -0.009272000	  -0.057583999	   1.017967980
  71.749340000	  -0.009272000	  -0.057583999	   1.018943980
  71.757954000	  -0.008784000	  -0.057583999	   1.016015980
  71.766568000	  -0.008784000	  -0.056607999	   1.016503980
  71.775182000	  -0.008296000	  -0.059047999	   1.016991980
  71.783796000	  -0.009760000	  -0.058559999	   1.016991980
  71.792410000	  -0.007808000	  -0.057095999	   1.018455980
  71.801024000	  -0.008784000	  -0.057095999	   1.018455980
  71.809638000	  -0.008784000	  -0.058071999	   1.018455980
  71.818252000	  -0.009272000	  -0.058071999	   1.017967980
  71.826866000	  -0.009760000	  -0.056607999	   1.016503980
  71.835480000	  -0.009760000	  -0.057095999	   1.018455980
  71.844094000	  -0.009272000	  -0.057095999	   1.018455980
  71.852708000	  -0.009272000	  -0.057583999	   1.018455980
  71.861322000	  -0.009760000	  -0.057583999	   1.017967980
  71.869936000	  -0.008784000	  -0.057095999	   1.018455980
  71.878550000	  -0.009272000	  -0.057583999	   1.017479980
  71.887164000	  -0.008296000	  -0.057095999	   1.017967980
  71.895778000	  -0.007808000	  -0.057583999	   1.017479980
  71.904392000	  -0.008784000	  -0.057095999	   1.017479980
  71.913006000	  -0.009272000	  -0.057583999	   1.016991980
  71.921620000	  -0.009272000	  -0.057095999	   1.017479980
  71.930234000	  -0.009760000	  -0.056607999	   1.016015980
  71.938848000	  -0.009760000	  -0.057583999	   1.017967980
  71.947462000	  -0.008784000	  -0.057583999	   1.019919980
  71.956076000	  -0.009272000	  -0.058071999	   1.019431980
  71.964690000	  -0.009760000	  -0.058071999	   1.017967980
  71.973304000	  -0.009760000	  -0.058559999	   1.017967980
  71.981918000	  -0.009272000	  -0.057095999	   1.018455980
  71.990532000	  -0.009272000	  -0.057095999	   1.017967980
  71.999146000	  -0.008784000	  -0.057583999	   1.017479980
  72.007760000	  -0.008296000	  -0.058071999	   1.016991980
  72.016374000	  -0.008296000	  -0.057583999	   1.017967980
  72.024988000	  -0.008296000	  -0.056607999	   1.017967980
  72.033602000	  -0.009272000	  -0.057095999	   1.017967980
  72.042216000	  -0.009760000	  -0.057583999	   1.016503980
  72.050830000	  -0.009272000	  -0.057095999	   1.017479980
  72.059444000	  -0.010248000	  -0.058071999	   1.017479980
  72.068058000	  -0.010248000	  -0.057095999	   1.018943980
  72.076672000	  -0.010736000	  -0.057095999	   1.019919980
  72.085286000	  -0.010248000	  -0.057583999	   1.017479980
  72.093900000	  -0.008784000	  -0.058071999	   1.017967980
  72.102514000	  -0.008784000	  -0.057583999	   1.017479980
  72.111128000	  -0.009760000	  -0.057583999	   1.018455980
  72.119742000	  -0.008784000	  -0.057583999	   1.018943980
  72.128356000	  -0.008784000	  -0.057583999	   1.016503980
  72.136970000	  -0.008784000	  -0.057583999	   1.016503980
  72.145584000	  -0.008784000	  -0.056607999	   1.017479980
  72.154198000	  -0.008784000	  -0.057095999	   1.017479980
  72.162812000	  -0.008296000	  -0.056119999	   1.017479980
  72.171426000	  -0.009272000	  -0.057583999	   1.017967980
  72.180040000	  -0.009272000	  -0.058559999	   1.018455980
  72.188654000	  -0.009760000	  -0.057095999	   1.018455980
  72.197268000	  -0.009760000	  -0.057583999	   1.017967980
  72.205882000	  -0.009272000	  -0.057583999	   1.017479980
  72.214496000	  -0.009272000	  -0.057095999	   1.018455980
  72.223110000	  -0.009272000	  -0.057095999	   1.018943980
  72.231724000	  -0.009760000	  -0.057095999	   1.017479980
  72.240338000	  -0.009760000	  -0.058071999	   1.016015980
  72.248952000	  -0.008296000	  -0.057583999	   1.016015980
  72.257566000	  -0.008784000	  -0.057095999	   1.016503980
  72.266180000	  -0.008784000	  -0.057095999	   1.016991980
  72.274794000	  -0.008296000	  -0.057583999	   1.018455980
  72.283408000	  -0.009272000	  -0.057095999	   1.018455980
  72.292022000	  -0.009760000	  -0.058071999	   1.017479980
