Time	A_x [g]	A_y [g]	A_z [g]
  47.192184000	  -0.117119998	  -0.277671995	   0.974047981
  47.200790000	  -0.117607998	  -0.277183995	   0.977463981
  47.209396000	  -0.120047998	  -0.279135995	   0.974535981
  47.218002000	  -0.121023998	  -0.280599995	   0.975511981
  47.226608000	  -0.120047998	  -0.281087995	   0.974047981
  47.235214000	  -0.119559998	  -0.283039995	   0.975511981
  47.243820000	  -0.118095998	  -0.283527995	   0.976975981
  47.252426000	  -0.117607998	  -0.283039995	   0.973071981
  47.261032000	  -0.116143998	  -0.283039995	   0.976487981
  47.269638000	  -0.118583998	  -0.282063995	   0.974047981
  47.278244000	  -0.117607998	  -0.281575995	   0.973071981
  47.286850000	  -0.118095998	  -0.280111995	   0.974535981
  47.295456000	  -0.118583998	  -0.278159995	   0.977463981
  47.304062000	  -0.117119998	  -0.279623995	   0.975511981
  47.312668000	  -0.118095998	  -0.280111995	   0.973559981
  47.321274000	  -0.118583998	  -0.281575995	   0.973559981
  47.329880000	  -0.120535998	  -0.281575995	   0.974047981
  47.338486000	  -0.119071998	  -0.282551995	   0.975023981
  47.347092000	  -0.119071998	  -0.282063995	   0.976487981
  47.355698000	  -0.118583998	  -0.280111995	   0.975023981
  47.364304000	  -0.118583998	  -0.279623995	   0.976975981
  47.372910000	  -0.118583998	  -0.279135995	   0.975023981
  47.381516000	  -0.119559998	  -0.279623995	   0.975511981
  47.390122000	  -0.119071998	  -0.278159995	   0.975999981
  47.398728000	  -0.118095998	  -0.278159995	   0.974535981
  47.407334000	  -0.119071998	  -0.278159995	   0.975511981
  47.415940000	  -0.119071998	  -0.281575995	   0.975511981
  47.424546000	  -0.119071998	  -0.283527995	   0.973559981
  47.433152000	  -0.118583998	  -0.284991995	   0.974047981
  47.441758000	  -0.117119998	  -0.283527995	   0.975511981
  47.450364000	  -0.116143998	  -0.281087995	   0.974047981
  47.458970000	  -0.116631998	  -0.280599995	   0.976487981
  47.467576000	  -0.118095998	  -0.281575995	   0.974535981
  47.476182000	  -0.120047998	  -0.280111995	   0.974535981
  47.484788000	  -0.121023998	  -0.280111995	   0.975023981
  47.493394000	  -0.120535998	  -0.278159995	   0.975023981
  47.502000000	  -0.119559998	  -0.277671995	   0.975023981
  47.510606000	  -0.119071998	  -0.278647995	   0.975511981
  47.519212000	  -0.119071998	  -0.279623995	   0.975023981
  47.527818000	  -0.118095998	  -0.281575995	   0.975511981
  47.536424000	  -0.118095998	  -0.283039995	   0.975511981
  47.545030000	  -0.117119998	  -0.283039995	   0.975999981
  47.553636000	  -0.117119998	  -0.282551995	   0.976975981
  47.562242000	  -0.118095998	  -0.281575995	   0.974535981
  47.570848000	  -0.119071998	  -0.281575995	   0.973559981
  47.579454000	  -0.120047998	  -0.280599995	   0.975023981
  47.588060000	  -0.119559998	  -0.279623995	   0.975023981
  47.596666000	  -0.119071998	  -0.278647995	   0.975511981
  47.605272000	  -0.118095998	  -0.277671995	   0.975511981
  47.613878000	  -0.117607998	  -0.278159995	   0.975023981
  47.622484000	  -0.118095998	  -0.278647995	   0.975023981
  47.631090000	  -0.119559998	  -0.280111995	   0.974047981
  47.639696000	  -0.119071998	  -0.282063995	   0.974535981
