A_x [g]	A_y [g]	A_z [g]	Counter-Clockwise
  -0.173239997	   2.338007955	   7.796287850	False
  -0.063927999	   2.559559951	   7.903159847	False
  -0.319639994	   2.314095955	   7.977335846	False
  -0.179583997	   2.358991954	   8.045167845	False
  -0.275231995	   2.062287960	   7.979775846	False
  -0.069295999	   2.006655961	   7.616215853	False
   0.035135999	   2.090103960	   7.554727854	False
   0.109311998	   2.122311959	   7.429799857	False
   0.131271997	   2.318975955	   7.591815853	False
  -0.043431999	   2.337519955	   7.766031850	False
   0.119071998	   2.457079953	   7.708447851	False
   0.213255996	   2.534671951	   7.602063853	False
   0.084911998	   2.546383951	   7.770423850	False
  -0.357215993	   2.298967956	   7.924143847	False
  -0.554367989	   2.293599956	   8.068103844	False
  -0.611951988	   2.172575958	   7.928535847	False
  -0.474823991	   2.310191955	   7.882175848	False
  -0.358191993	   2.367287954	   7.822151849	False
  -0.152743997	   2.378511954	   7.690879852	False
   0.252295995	   2.525887951	   7.326343859	False
  -0.163967997	   2.339471955	   7.720159851	False
  -0.353311993	   2.207711957	   7.845575849	False
  -0.216671996	   2.286279956	   7.787503850	False
  -0.102479998	   2.295551956	   7.788479850	False
  -0.129807997	   2.338495955	   7.961719846	False
   0.117607998	   2.405839954	   7.705031851	False
   0.182023996	   2.599087950	   7.742119851	False
  -0.280599995	   2.498559952	   8.144719843	False
  -0.381127993	   2.518567951	   8.263303841	False
  -0.158599997	   2.532231951	   7.960255846	False
  -0.056607999	   2.685951948	   8.482415836	False
   1.074087979	   2.720599947	   7.569855854	False
   1.786079966	   2.734751947	   6.758799870	False
   2.162815958	   3.273503937	   6.581167873	False
   1.472783972	   2.737191947	   4.068943921	False
  -3.195911938	   0.618295988	   4.719935909	False
  -8.205231842	  -0.076127999	   5.434367895	False
 -14.334511723	  -2.418527953	   5.439247895	False
 -12.396663761	   5.068367902	   7.858263848	False
  -9.770735811	   5.676415890	  11.288415782	False
  -6.660223871	   7.492751855	  15.988831691	False
   1.682623968	   5.575399892	  15.988831691	False
  11.203015784	  14.389167722	  15.988831691	False
  14.092951728	  11.796911772	   8.902095828	False
   9.929823808	   6.558719873	   7.103327863	False
   7.289255859	   4.781423908	   3.290583936	False
   4.005991923	   4.027463922	  -0.553879989	False
   0.925735982	   4.676991910	  -3.191519938	False
  -2.037399961	   4.233887918	 -10.163575804	False
  -9.335439820	   1.137527978	  -5.042015903	False
 -10.438319799	   1.702631967	   0.411871992	False
 -10.634983795	  -0.295727994	   4.791671908	False
 -12.509391759	  -2.596647950	   8.111535843	False
 -10.410015799	  -0.241559995	   9.045567825	False
  -9.044591825	   1.755823966	  10.377319800	False
  -7.753831850	   4.111399921	  14.326703724	False
  -2.663991949	   7.122359863	  14.778103715	False
  -0.468479991	   9.411079818	  15.988831691	False
   1.510847971	   9.116327824	  15.988831691	False
   9.201239822	  11.266943783	  13.863103732	False
  10.645231795	  12.606503757	  14.558991719	False
  10.371951800	  10.490535798	   9.222223822	False
   9.380335819	   8.459967837	   2.880175944	False
   4.487647913	   5.087887902	  -0.157623997	False
   0.431879992	   2.063751960	  -4.459831914	False
  -1.615767969	   1.589415969	  -5.309927898	False
  -5.940423885	   0.121999998	  -5.632007891	False
  -8.284775840	  -0.085399998	  -4.196799919	False
 -13.268231744	  -1.100439979	   0.541679990	False
 -15.988831691	  -2.236991957	   6.676815871	False
 -15.988831691	   0.053679999	   9.875655809	False
 -10.788215792	   4.108959921	   8.916735828	False
  -7.372703858	   7.683559852	  11.951119769	False
  -2.875783945	  11.127863785	  15.988831691	False
   4.789719908	  12.989583749	  15.988831691	False
   7.983191846	  13.826991733	  15.988831691	False
  12.643591756	  13.721583735	  13.749399735	False
  10.522255797	   9.066063825	   7.414671857	False
   7.634271853	   6.246887879	   3.608759930	False
   4.577927912	   3.532631932	  -2.079367960	False
   0.124439998	   1.232687976	  -2.330687955	False
  -3.252519937	   1.222927976	  -5.197199900	False
  -6.366935877	  -0.666607987	  -5.883815886	False
  -9.040199826	  -0.470919991	  -3.208111938	False
