@relation 'MLC'

@attribute F1_ENERGY_on_ACC_X numeric
@attribute F2_ENERGY_on_ACC_Y numeric
@attribute F3_ENERGY_on_ACC_Z numeric
@attribute F4_PeakToPeak_on_ACC_V2 numeric
@attribute class {up_down, left_right, forward_back}

@data
39.0938, 193.125, 40, 12.9297, left_right
60.375, 286.25, 46.25, 21.8906, left_right
48.0625, 181.25, 49.2813, 13.9375, left_right
77.875, 216.75, 51.9688, 17.7813, left_right
103.063, 296.75, 56.8438, 22.8594, left_right
28.125, 42.3125, 50.7188, 4.91797, left_right
105.5, 14.9141, 53.25, 10.8281, forward_back
93.9375, 17.5625, 52.0313, 5.57813, forward_back
253.25, 18.4844, 74.6875, 19.5, forward_back
266.5, 21.2969, 76.875, 22.3594, forward_back
213.375, 13.0938, 74.3125, 17.3438, forward_back
228.125, 17, 75.0625, 19.4531, forward_back
270.25, 29.7031, 68.8125, 22.9219, forward_back
231.875, 23.5156, 68.3125, 23.7656, forward_back
257, 14.25, 79.5, 20.375, forward_back
234.375, 21.1719, 58.8438, 23.75, forward_back
192.625, 12.5703, 58.0313, 15.4219, forward_back
267.75, 37.0313, 52.0938, 23.5781, forward_back
257.5, 27.8594, 51.0625, 22.6406, forward_back
189.75, 38.5625, 39.2813, 19.5, forward_back
249.375, 36.1875, 61.4688, 21.5781, forward_back
270.5, 32.9375, 55.0313, 19.5313, forward_back
291.75, 21.625, 54.1563, 25.7969, forward_back
226.25, 26.9219, 54, 21.7813, forward_back
180.875, 36.0313, 54.5938, 22.7344, forward_back
229.375, 33.5313, 67.125, 26.2188, forward_back
275.25, 30.1094, 61.6875, 24.3281, forward_back
254.5, 26.7969, 49.8438, 25.125, forward_back
299.5, 27.5625, 68.8125, 29.375, forward_back
269.25, 12.9297, 73.125, 20.6875, forward_back
235.75, 24.9063, 61.1563, 25.875, forward_back
163.375, 18.7969, 57.6875, 13.4531, forward_back
238.25, 23.9375, 70.4375, 20, forward_back
205.75, 19.375, 63.4688, 20.2188, forward_back
237.375, 26.5313, 37.8125, 16.8125, forward_back
176.875, 42.4063, 60.4375, 18.8438, forward_back
365.75, 30.5781, 69.5, 27.6875, forward_back
395, 52.0313, 74.125, 39.4063, forward_back
159, 14.3047, 88.625, 10.4844, forward_back
333.5, 55.125, 74.75, 31.1563, forward_back
330.25, 73.125, 73.4375, 33.3438, forward_back
339.5, 68.1875, 73, 38.4375, forward_back
391.75, 22.6875, 79.1875, 27.5313, forward_back
133.25, 23.7188, 78.5625, 12.4063, forward_back
251.625, 12.1172, 68.5, 17.2813, forward_back
189.875, 15.625, 77.9375, 17.8594, forward_back
