A_x [g]	A_y [g]	A_z [g]
  -0.007381000	  -0.058559999	   1.016381980
  -0.007259000	  -0.058437999	   1.016137980
  -0.007198000	  -0.058376999	   1.016198980
  -0.006954000	  -0.058864999	   1.016442980
  -0.007381000	  -0.058803999	   1.015710980
  -0.007259000	  -0.058559999	   1.016259980
  -0.007076000	  -0.059291999	   1.016991980
  -0.007320000	  -0.058254999	   1.016015980
  -0.007076000	  -0.058803999	   1.016137980
  -0.007381000	  -0.058986999	   1.016442980
  -0.007991000	  -0.058559999	   1.016442980
  -0.007259000	  -0.058681999	   1.016259980
  -0.007564000	  -0.058803999	   1.016320980
  -0.007442000	  -0.058742999	   1.015832980
  -0.007137000	  -0.058620999	   1.016137980
  -0.007076000	  -0.058803999	   1.016442980
  -0.006771000	  -0.058864999	   1.016747980
  -0.006954000	  -0.058376999	   1.015832980
  -0.007564000	  -0.058681999	   1.016503980
  -0.007259000	  -0.058864999	   1.016503980
  -0.007015000	  -0.058315999	   1.016259980
  -0.006710000	  -0.058071999	   1.015954980
  -0.007198000	  -0.058559999	   1.016381980
  -0.007137000	  -0.058864999	   1.016686980
  -0.007503000	  -0.058315999	   1.016076980
  -0.007198000	  -0.058986999	   1.016442980
  -0.007137000	  -0.058376999	   1.017174980
  -0.007442000	  -0.057949999	   1.016320980
  -0.006893000	  -0.058620999	   1.016076980
  -0.007381000	  -0.058620999	   1.016442980
  -0.007564000	  -0.058925999	   1.016503980
  -0.007198000	  -0.059047999	   1.016625980
  -0.007320000	  -0.058803999	   1.016564980
  -0.007381000	  -0.058620999	   1.016381980
  -0.006954000	  -0.059169999	   1.016503980
  -0.007808000	  -0.058193999	   1.016015980
  -0.007198000	  -0.058803999	   1.016381980
  -0.006710000	  -0.058925999	   1.016564980
  -0.007198000	  -0.058437999	   1.015649980
  -0.006710000	  -0.058803999	   1.016198980
  -0.007076000	  -0.058742999	   1.016381980
  -0.007442000	  -0.058681999	   1.016869980
  -0.007015000	  -0.058620999	   1.016991980
  -0.007320000	  -0.058559999	   1.017052980
  -0.007564000	  -0.058315999	   1.015893980
  -0.007442000	  -0.059169999	   1.017418980
  -0.007198000	  -0.058559999	   1.016564980
  -0.007076000	  -0.058498999	   1.016137980
  -0.007076000	  -0.059047999	   1.017357980
  -0.007747000	  -0.058254999	   1.016442980
  -0.007503000	  -0.058376999	   1.016137980
  -0.006893000	  -0.058803999	   1.016625980
  -0.007503000	  -0.058132999	   1.016808980
  -0.006954000	  -0.058986999	   1.016747980
  -0.007320000	  -0.058620999	   1.016198980
  -0.007198000	  -0.058071999	   1.017052980
  -0.007442000	  -0.059169999	   1.016686980
  -0.007259000	  -0.058437999	   1.015710980
  -0.007198000	  -0.058803999	   1.017113980
  -0.006588000	  -0.058864999	   1.016503980
  -0.007137000	  -0.058315999	   1.016808980
  -0.007564000	  -0.058864999	   1.016259980
  -0.007320000	  -0.058376999	   1.017235980
  -0.007381000	  -0.058620999	   1.016137980
  -0.007137000	  -0.058803999	   1.016381980
  -0.006954000	  -0.058559999	   1.016564980
  -0.007503000	  -0.058620999	   1.015710980
  -0.007015000	  -0.058681999	   1.015710980
  -0.006954000	  -0.058315999	   1.016015980
  -0.007808000	  -0.058803999	   1.015893980
  -0.006832000	  -0.058498999	   1.015771980
  -0.007137000	  -0.058742999	   1.015771980
  -0.007503000	  -0.058437999	   1.016442980
  -0.006466000	  -0.058681999	   1.015527980
  -0.007015000	  -0.058193999	   1.015344980
  -0.007198000	  -0.058437999	   1.016747980
  -0.007015000	  -0.059108999	   1.015710980
  -0.007137000	  -0.058071999	   1.016320980
  -0.007015000	  -0.059047999	   1.016137980
  -0.007198000	  -0.058986999	   1.015893980
  -0.007747000	  -0.058803999	   1.016442980
  -0.007198000	  -0.058925999	   1.015893980
  -0.007320000	  -0.058864999	   1.016015980
  -0.007686000	  -0.058803999	   1.016259980
  -0.007320000	  -0.059291999	   1.016198980
  -0.007259000	  -0.058803999	   1.016015980
  -0.007320000	  -0.058437999	   1.016076980
  -0.007503000	  -0.058498999	   1.017174980
  -0.007686000	  -0.058315999	   1.015039980
  -0.007076000	  -0.058254999	   1.016076980
  -0.006710000	  -0.058437999	   1.016320980
  -0.007015000	  -0.058315999	   1.016076980
  -0.006893000	  -0.058681999	   1.016747980
  -0.007259000	  -0.058925999	   1.016625980
  -0.007564000	  -0.058132999	   1.016625980
  -0.007137000	  -0.058803999	   1.016686980
  -0.007015000	  -0.058986999	   1.016503980
  -0.007564000	  -0.058315999	   1.016320980
  -0.007076000	  -0.058742999	   1.016625980
  -0.007686000	  -0.058742999	   1.016015980
  -0.007564000	  -0.058559999	   1.016137980
  -0.006588000	  -0.058803999	   1.017113980
  -0.007320000	  -0.058376999	   1.016076980
  -0.007320000	  -0.058559999	   1.016808980
  -0.007137000	  -0.058498999	   1.015649980
  -0.007442000	  -0.058559999	   1.015405980
  -0.007381000	  -0.058925999	   1.018089980
  -0.007076000	  -0.058681999	   1.017418980
  -0.007442000	  -0.058071999	   1.015588980
  -0.007320000	  -0.058620999	   1.016869980
  -0.007564000	  -0.058864999	   1.017540980
  -0.007686000	  -0.058315999	   1.016076980
  -0.007320000	  -0.058986999	   1.016747980
  -0.007137000	  -0.058925999	   1.016747980
  -0.007503000	  -0.058681999	   1.016869980
  -0.007076000	  -0.058925999	   1.016991980
  -0.007320000	  -0.058742999	   1.017174980
  -0.007808000	  -0.058437999	   1.016747980
  -0.006893000	  -0.058925999	   1.016747980
  -0.007442000	  -0.058498999	   1.016503980
  -0.007320000	  -0.058315999	   1.016869980
  -0.007320000	  -0.058681999	   1.016442980
  -0.007259000	  -0.058742999	   1.016991980
  -0.007137000	  -0.058925999	   1.016747980
  -0.006832000	  -0.058864999	   1.016259980
  -0.007015000	  -0.058254999	   1.016930980
  -0.006893000	  -0.058254999	   1.016381980
  -0.007198000	  -0.058925999	   1.016625980
  -0.007869000	  -0.058498999	   1.016564980
  -0.007076000	  -0.058681999	   1.016320980
  -0.007442000	  -0.058193999	   1.016808980
  -0.007503000	  -0.058498999	   1.016320980
  -0.007198000	  -0.058620999	   1.016381980
  -0.007198000	  -0.058559999	   1.016381980
  -0.007015000	  -0.058437999	   1.016625980
  -0.006954000	  -0.059108999	   1.016686980
  -0.007564000	  -0.058681999	   1.016625980
  -0.006771000	  -0.058437999	   1.017113980
  -0.007076000	  -0.058559999	   1.017357980
  -0.007015000	  -0.058193999	   1.016198980
  -0.007198000	  -0.058681999	   1.016381980
  -0.007564000	  -0.058376999	   1.016869980
  -0.007015000	  -0.058132999	   1.015954980
  -0.007198000	  -0.058742999	   1.017418980
  -0.007198000	  -0.058864999	   1.016442980
  -0.007564000	  -0.058010999	   1.015832980
  -0.006893000	  -0.058925999	   1.017052980
  -0.007564000	  -0.058498999	   1.016991980
  -0.007137000	  -0.058864999	   1.016808980
  -0.007442000	  -0.058681999	   1.016259980
  -0.007503000	  -0.058559999	   1.016259980
  -0.007320000	  -0.058986999	   1.016991980
  -0.007137000	  -0.058498999	   1.016198980
  -0.007625000	  -0.058498999	   1.016137980
  -0.007747000	  -0.059230999	   1.017357980
  -0.007869000	  -0.058620999	   1.016503980
  -0.007625000	  -0.058925999	   1.016930980
  -0.007503000	  -0.058925999	   1.017296980
  -0.007320000	  -0.058254999	   1.016198980
  -0.007808000	  -0.059169999	   1.016930980
  -0.007381000	  -0.058803999	   1.016869980
  -0.007503000	  -0.058315999	   1.016381980
  -0.006954000	  -0.058864999	   1.016564980
  -0.007076000	  -0.058986999	   1.016137980
  -0.007503000	  -0.058498999	   1.015832980
  -0.007442000	  -0.058681999	   1.016381980
  -0.007137000	  -0.058681999	   1.016564980
  -0.007747000	  -0.058681999	   1.015283980
  -0.007503000	  -0.058925999	   1.017052980
  -0.007198000	  -0.058559999	   1.016442980
  -0.007625000	  -0.058559999	   1.015893980
  -0.006649000	  -0.059047999	   1.015527980
  -0.006954000	  -0.058681999	   1.017052980
  -0.007381000	  -0.058193999	   1.015771980
  -0.006832000	  -0.058620999	   1.016259980
  -0.007381000	  -0.058254999	   1.016625980
  -0.006893000	  -0.058437999	   1.015649980
  -0.007320000	  -0.059047999	   1.016564980
  -0.007930000	  -0.058193999	   1.016747980
  -0.007625000	  -0.058010999	   1.015893980
  -0.007076000	  -0.058803999	   1.016564980
