Time	A_x [g]	A_y [g]	A_z [g]
  93.163744000	  -0.014152000	  -0.118583998	   1.035535980
  93.172358000	  -0.020984000	  -0.120535998	   1.045295980
  93.180972000	  -0.017568000	  -0.126391998	   1.024311980
  93.189586000	  -0.011712000	  -0.125903998	   1.013575980
  93.198200000	  -0.008784000	  -0.124927998	   1.017479980
  93.206814000	  -0.008784000	  -0.127367998	   1.018943980
  93.215428000	  -0.006832000	  -0.131271997	   1.007231981
  93.224042000	  -0.003416000	  -0.133711997	   1.004791981
  93.232656000	  -0.004880000	  -0.134687997	   1.002351981
  93.241270000	  -0.011224000	  -0.137127997	   1.006743981
  93.249884000	  -0.013664000	  -0.141031997	   1.011135980
  93.258498000	  -0.009760000	  -0.145423997	   1.003327981
  93.267112000	  -0.006832000	  -0.144935997	   0.997959981
  93.275726000	  -0.006832000	  -0.135175997	   1.012599980
  93.284340000	  -0.008296000	  -0.129807997	   1.018943980
  93.292954000	  -0.014640000	  -0.133223997	   1.018455980
  93.301568000	  -0.026839999	  -0.138591997	   1.015039980
  93.310182000	  -0.033671999	  -0.143959997	   1.010159981
  93.318796000	  -0.029767999	  -0.149327997	   0.999911981
  93.327410000	  -0.019520000	  -0.152255997	   0.992591981
  93.336024000	  -0.011224000	  -0.151767997	   0.981855981
  93.344638000	  -0.011224000	  -0.149815997	   0.986247981
  93.353252000	  -0.012200000	  -0.143471997	   1.001375981
  93.361866000	  -0.010248000	  -0.138591997	   1.008207981
  93.370480000	  -0.011712000	  -0.135175997	   1.009671981
  93.379094000	  -0.020496000	  -0.129319998	   1.022359980
  93.387708000	  -0.034159999	  -0.127367998	   1.041879980
  93.396322000	  -0.042455999	  -0.131271997	   1.044319980
  93.404936000	  -0.043431999	  -0.134199997	   1.032119980
  93.413550000	  -0.040991999	  -0.135175997	   1.026263980
  93.422164000	  -0.038063999	  -0.136151997	   1.016015980
  93.430778000	  -0.038551999	  -0.137615997	   1.016015980
  93.439392000	  -0.041479999	  -0.133223997	   1.032119980
  93.448006000	  -0.043919999	  -0.125903998	   1.054567980
  93.456620000	  -0.042455999	  -0.122975998	   1.055055980
  93.465234000	  -0.041479999	  -0.121999998	   1.041879980
  93.473848000	  -0.055631999	  -0.125903998	   1.031143980
  93.482462000	  -0.080519998	  -0.132735997	   1.036023980
  93.491076000	  -0.098575998	  -0.138591997	   1.042855980
  93.499690000	  -0.100039998	  -0.138103997	   1.034071980
  93.508304000	  -0.114679998	  -0.145423997	   1.044807980
  93.516918000	  -0.101503998	  -0.142983997	   1.032607980
  93.525532000	  -0.103455998	  -0.151767997	   1.016503980
  93.534146000	  -0.101503998	  -0.148839997	   1.045295980
  93.542760000	  -0.086375998	  -0.154207997	   1.051639980
  93.551374000	  -0.087839998	  -0.166407997	   1.044319980
  93.559988000	  -0.037087999	  -0.165919997	   1.040415980
  93.568602000	   0.024888000	  -0.170311997	   1.067743979
  93.577216000	   0.103943998	  -0.195199996	   1.041879980
  93.585830000	   0.166407997	  -0.182999996	   1.091655979
  93.594444000	   0.211791996	  -0.198127996	   1.071159979
  93.603058000	   0.279623995	  -0.211791996	   1.019919980
  93.611672000	   0.349895993	  -0.209839996	   1.019919980
  93.620286000	   0.391863992	  -0.243511995	   0.908655982
  93.628900000	   0.424559992	  -0.281575995	   0.802759985
  93.637514000	   0.460183991	  -0.287919994	   0.778847985
  93.646128000	   0.509471990	  -0.301583994	   0.757863985
  93.654742000	   0.553391989	  -0.345015993	   0.659775987
  93.663356000	   0.665631987	  -0.305975994	   0.699303987
  93.671970000	   0.687591987	  -0.258639995	   0.719311986
  93.680584000	   0.691007987	  -0.255711995	   0.772503985
  93.689198000	   0.672951987	  -0.230823996	   0.796415985
  93.697812000	   0.648063987	  -0.219599996	   0.816423984
  93.706426000	   0.628055988	  -0.213255996	   0.836919984
  93.715040000	   0.619271988	  -0.233751995	   0.786655985
  93.723654000	   0.616831988	  -0.221063996	   0.750543986
  93.732268000	   0.608047988	  -0.166407997	   0.796903985
  93.740882000	   0.576815989	  -0.145911997	   0.884255983
  93.749496000	   0.579255989	  -0.082959998	   0.953551982
  93.758110000	   0.555831989	  -0.029767999	   0.936959982
  93.766724000	   0.527527990	  -0.040991999	   0.960383981
  93.775338000	   0.446519991	  -0.074175999	   0.946231982
  93.783952000	   0.313783994	  -0.036111999	   0.896943983
  93.792566000	   0.114191998	  -0.044407999	   0.903775983
  93.801180000	  -0.027327999	  -0.010248000	   0.983807981
  93.809794000	  -0.116631998	   0.036111999	   1.093119979
  93.818408000	  -0.228871996	   0.085399998	   1.124351978
  93.827022000	  -0.343551993	   0.127367998	   1.115079978
  93.835636000	  -0.418215992	   0.139079997	   1.138991978
  93.844250000	  -0.470919991	   0.198615996	   1.205359977
  93.852864000	  -0.531431990	   0.215695996	   1.226831976
  93.861478000	  -0.627567988	   0.222527996	   1.200479977
  93.870092000	  -0.705159986	   0.226431996	   1.150215978
  93.878706000	  -0.799831985	   0.209351996	   1.097999979
  93.887320000	  -0.877911983	   0.203007996	   1.074575979
  93.895934000	  -0.932079982	   0.221551996	   1.118983978
  93.904548000	  -0.971119981	   0.254735995	   1.167295977
  93.913162000	  -0.996495981	   0.297679994	   1.212679977
  93.921776000	  -0.995031981	   0.352823993	   1.277583975
  93.930390000	  -0.984295981	   0.401623992	   1.320039975
  93.939004000	  -0.968191981	   0.422607992	   1.337607974
  93.947618000	  -0.932079982	   0.447007991	   1.347855974
  93.956232000	  -0.884255983	   0.462135991	   1.318087975
  93.964846000	  -0.856927983	   0.435295992	   1.264895976
  93.973460000	  -0.845703984	   0.385519993	   1.203407977
  93.982074000	  -0.819351984	   0.366487993	   1.138015978
  93.990688000	  -0.772991985	   0.312319994	   1.081407979
  93.999302000	  -0.695887987	   0.257175995	   0.992591981
  94.007916000	  -0.614391988	   0.221551996	   0.917927982
  94.016530000	  -0.547047989	   0.205447996	   0.885719983
  94.025144000	  -0.481655991	   0.206911996	   0.896455983
  94.033758000	  -0.422119992	   0.182511996	   0.887183983
  94.042372000	  -0.366487993	   0.192759996	   0.884255983
  94.050986000	  -0.335255994	   0.206423996	   0.891087983
  94.059600000	  -0.341111993	   0.208375996	   0.902311983
  94.068214000	  -0.387959993	   0.197639996	   0.965751981
  94.076828000	  -0.441639991	   0.197151996	   1.061887980
  94.085442000	  -0.477263991	   0.168359997	   1.103855979
  94.094056000	  -0.464575991	   0.133711997	   1.055055980
  94.102670000	  -0.369415993	   0.123951998	   1.028215980
  94.111284000	  -0.219111996	   0.107847998	   1.001375981
  94.119898000	  -0.082959998	   0.043919999	   0.894015983
  94.128512000	   0.023912000	   0.003416000	   0.758351985
  94.137126000	   0.113215998	   0.050751999	   0.716383986
  94.145740000	   0.205447996	   0.081983998	   0.767135985
  94.154354000	   0.250831995	   0.063927999	   0.787631985
  94.162968000	   0.261079995	   0.051239999	   0.788607985
  94.171582000	   0.227407996	   0.087839998	   0.863271983
  94.180196000	   0.190807996	   0.142983997	   1.054567980
  94.188810000	   0.192271996	   0.129319998	   1.188279977
  94.197424000	   0.194223996	   0.060511999	   1.197551977
  94.206038000	   0.231799996	  -0.005856000	   1.089703979
  94.214652000	   0.302071994	  -0.062463999	   0.974535981
  94.223266000	   0.361607993	  -0.104431998	   0.942327982
  94.231880000	   0.410407992	  -0.145911997	   0.918903982
  94.240494000	   0.443103991	  -0.152743997	   0.866199983
  94.249108000	   0.494343990	  -0.154207997	   0.844727984
  94.257722000	   0.547047989	  -0.167383997	   0.822767984
  94.266336000	   0.615367988	  -0.165431997	   0.846191984
  94.274950000	   0.677831987	  -0.156159997	   0.897919983
  94.283564000	   0.724679986	  -0.133711997	   0.928175982
  94.292178000	   0.761279985	  -0.135663997	   0.952575982
  94.300792000	   0.820327984	  -0.146887997	   0.920855982
  94.309406000	   0.853999984	  -0.175191997	   0.856439983
  94.318020000	   0.836431984	  -0.209351996	   0.818375984
  94.326634000	   0.797391985	  -0.227895996	   0.831551984
  94.335248000	   0.808127984	  -0.225455996	   0.819351984
  94.343862000	   0.856439983	  -0.235703995	   0.781287985
  94.352476000	   0.927687982	  -0.250831995	   0.752983985
  94.361090000	   1.011135980	  -0.270351995	   0.735903986
  94.369704000	   1.089703979	  -0.290847994	   0.683199987
  94.378318000	   1.148263978	  -0.300607994	   0.650503987
  94.386932000	   1.174127977	  -0.306951994	   0.585599989
  94.395546000	   1.178031977	  -0.323543994	   0.525087990
  94.404160000	   1.135575978	  -0.350383993	   0.471895991
  94.412774000	   1.074575979	  -0.359655993	   0.497759990
  94.421388000	   0.996007981	  -0.341111993	   0.572911989
  94.430002000	   0.938423982	  -0.307927994	   0.599263988
  94.438616000	   0.890111983	  -0.228871996	   0.622199988
  94.447230000	   0.853511984	  -0.117119998	   0.635375988
  94.455844000	   0.790559985	  -0.059047999	   0.654895987
  94.464458000	   0.732975986	  -0.051239999	   0.706623986
  94.473072000	   0.689055987	  -0.021472000	   0.704671986
  94.481686000	   0.681247987	   0.100527998	   0.718823986
  94.490300000	   0.645623988	   0.217647996	   0.775919985
  94.498914000	   0.613415988	   0.272791995	   0.925735982
  94.507528000	   0.591943989	   0.298167994	   1.062863979
  94.516142000	   0.560223989	   0.334279994	   1.090191979
  94.524756000	   0.483607991	   0.338671993	   1.005767981
  94.533370000	   0.377223993	   0.315247994	   0.938423982
  94.541984000	   0.244975995	   0.339159993	   0.927687982
  94.550598000	   0.101991998	   0.325495994	   1.003815981
  94.559212000	   0.017080000	   0.297191994	   1.109711979
  94.567826000	  -0.020496000	   0.268399995	   1.182911977
  94.576440000	  -0.007320000	   0.248391995	   1.201943977
  94.585054000	  -0.007320000	   0.227407996	   1.121423978
  94.593668000	  -0.044895999	   0.186415996	   1.028703980
  94.602282000	  -0.100039998	   0.169823997	   1.009183981
  94.610896000	  -0.190319996	   0.174215997	   1.025287980
  94.619510000	  -0.315247994	   0.156159997	   1.032607980
  94.628124000	  -0.425047992	   0.132247997	   1.058959980
  94.636738000	  -0.488975991	   0.126879998	   1.116055978
  94.645352000	  -0.546559989	   0.098575998	   1.140455978
  94.653966000	  -0.593895989	   0.080519998	   1.140455978
  94.662580000	  -0.632935988	   0.090279998	   1.179983977
  94.671194000	  -0.689543987	   0.081495998	   1.166319977
  94.679808000	  -0.743711986	   0.065391999	   1.113127979
  94.688422000	  -0.784703985	   0.078079998	   1.118495978
  94.697036000	  -0.801295985	   0.105407998	   1.131671978
  94.705650000	  -0.792511985	   0.131759997	   1.118495978
  94.714264000	  -0.768111985	   0.167383997	   1.122887978
  94.722878000	  -0.742247986	   0.228383996	   1.115567978
  94.731492000	  -0.849119984	   0.291823994	   1.131183978
  94.740106000	  -0.979903981	   0.380639993	   1.341999974
  94.748720000	  -1.145823978	   0.531919990	   1.558183970
  94.757334000	  -1.343951974	   0.568031989	   1.683599968
  94.765948000	  -1.434719972	   0.443103991	   1.670911968
  94.774562000	  -1.404951973	   0.274255995	   1.557207970
  94.783176000	  -1.347367974	   0.178119997	   1.382991973
  94.791790000	  -1.182423977	   0.122487998	   1.249767976
  94.800404000	  -0.994543981	   0.097599998	   1.190231977
  94.809018000	  -0.808615984	   0.043431999	   0.989175981
  94.817632000	  -0.654895987	   0.034159999	   0.942327982
  94.826246000	  -0.493855990	   0.077591999	   0.937935982
  94.834860000	  -0.375271993	   0.092719998	   0.920855982
  94.843474000	  -0.298167994	   0.130295997	   0.904751983
  94.852088000	  -0.239119995	   0.175679997	   0.953551982
  94.860702000	  -0.184951996	   0.202031996	   1.008695981
  94.869316000	  -0.149815997	   0.216183996	   1.047735980
  94.877930000	  -0.134687997	   0.228871996	   1.112639979
  94.886544000	  -0.126391998	   0.235703995	   1.154607978
  94.895158000	  -0.120535998	   0.208375996	   1.147287978
  94.903772000	  -0.073199999	   0.204471996	   1.102391979
  94.912386000	   0.018056000	   0.223015996	   1.009671981
  94.921000000	   0.117607998	   0.207887996	   0.952575982
  94.929613000	   0.234239995	   0.169823997	   0.929639982
  94.938226000	   0.338671993	   0.149815997	   0.918415982
  94.946839000	   0.398207992	   0.151767997	   0.946231982
  94.955452000	   0.416263992	   0.122487998	   0.902311983
  94.964065000	   0.393815992	   0.129319998	   0.953551982
  94.972678000	   0.361607993	   0.141031997	   1.044807980
  94.981291000	   0.338671993	   0.134687997	   1.075063979
  94.989904000	   0.347943993	   0.137127997	   1.063839979
  94.998517000	   0.381615993	   0.135175997	   1.021383980
  95.007130000	   0.441151991	   0.140055997	   0.998935981
  95.015743000	   0.496783990	   0.125415998	   0.993079981
  95.024356000	   0.513863990	   0.079543998	   0.945255982
  95.032969000	   0.529967990	   0.053679999	   0.910607982
  95.041582000	   0.519231990	   0.028791999	   0.903775983
  95.050195000	   0.481655991	  -0.040991999	   0.828135984
  95.058808000	   0.483607991	  -0.088327998	   0.744199986
  95.067421000	   0.527039990	  -0.141519997	   0.715407986
  95.076034000	   0.562663989	  -0.194223996	   0.674903987
  95.084647000	   0.631471988	  -0.245951995	   0.595359989
  95.093260000	   0.763231985	  -0.261079995	   0.512887990
  95.101873000	   0.880351983	  -0.300119994	   0.490927991
  95.110486000	   0.988199981	  -0.292799994	   0.447495991
  95.119099000	   1.120935978	  -0.239119995	   0.430415992
  95.127712000	   1.236103976	  -0.187879996	   0.464575991
  95.136325000	   1.318575975	  -0.121999998	   0.501663990
  95.144938000	   1.349319974	  -0.044407999	   0.575839989
  95.153551000	   1.341023974	   0.008784000	   0.670511987
  95.162164000	   1.292223975	   0.037575999	   0.688079987
  95.170777000	   1.241959976	   0.035135999	   0.726631986
  95.179390000	   1.162415978	   0.044407999	   0.760791985
  95.188003000	   1.106295979	   0.041479999	   0.747127986
  95.196616000	   1.057495980	   0.013176000	   0.680759987
  95.205229000	   0.979415981	  -0.037087999	   0.640743988
  95.213842000	   0.952575982	  -0.077591999	   0.629519988
  95.222455000	   0.947695982	  -0.087839998	   0.590967989
  95.231068000	   0.923295982	  -0.063439999	   0.554855989
  95.239681000	   0.907191982	  -0.020984000	   0.620735988
  95.248294000	   0.847655984	   0.004392000	   0.653431987
  95.256907000	   0.737855986	   0.036111999	   0.755911985
  95.265520000	   0.600239988	   0.085887998	   0.788607985
