Time	A_x [g]	A_y [g]	A_z [g]
   4.049305999	  -0.050751999	  -0.299631994	   0.976487981
   4.057911999	  -0.051727999	  -0.299631994	   0.977463981
   4.066517999	  -0.054167999	  -0.301095994	   0.975511981
   4.075123999	  -0.056119999	  -0.300119994	   0.975023981
   4.083729999	  -0.058559999	  -0.300607994	   0.975023981
   4.092335999	  -0.061975999	  -0.301095994	   0.975023981
   4.100941999	  -0.062951999	  -0.299143994	   0.974047981
   4.109547999	  -0.061975999	  -0.299631994	   0.975999981
   4.118153999	  -0.061975999	  -0.298655994	   0.974047981
   4.126759999	  -0.059047999	  -0.299143994	   0.978927981
   4.135365999	  -0.056119999	  -0.298655994	   0.976487981
   4.143971999	  -0.052215999	  -0.297191994	   0.976487981
   4.152577999	  -0.050263999	  -0.298655994	   0.976975981
   4.161183999	  -0.048311999	  -0.301095994	   0.975999981
   4.169789999	  -0.048311999	  -0.302071994	   0.976487981
   4.178395999	  -0.050263999	  -0.302071994	   0.976975981
   4.187001999	  -0.054655999	  -0.303047994	   0.975023981
   4.195607999	  -0.056607999	  -0.300119994	   0.975999981
   4.204213999	  -0.060511999	  -0.298655994	   0.975023981
   4.212819999	  -0.063439999	  -0.298167994	   0.975023981
   4.221425999	  -0.063927999	  -0.297191994	   0.974535981
   4.230031999	  -0.063927999	  -0.296703994	   0.975023981
   4.238637999	  -0.061975999	  -0.297191994	   0.975511981
   4.247243999	  -0.058559999	  -0.299143994	   0.975511981
   4.255849999	  -0.055143999	  -0.300119994	   0.975511981
   4.264455999	  -0.051239999	  -0.301095994	   0.976975981
   4.273061999	  -0.048799999	  -0.301095994	   0.977463981
   4.281667999	  -0.047823999	  -0.300607994	   0.976487981
   4.290273999	  -0.047823999	  -0.299143994	   0.977463981
   4.298879999	  -0.051239999	  -0.299143994	   0.976975981
   4.307485999	  -0.055143999	  -0.299143994	   0.975999981
   4.316091999	  -0.058559999	  -0.299631994	   0.975511981
   4.324697999	  -0.062951999	  -0.299631994	   0.974535981
   4.333303999	  -0.063439999	  -0.299631994	   0.974047981
   4.341909999	  -0.063927999	  -0.300119994	   0.974535981
   4.350515999	  -0.061487999	  -0.299631994	   0.975511981
   4.359121999	  -0.058071999	  -0.298655994	   0.976975981
   4.367727999	  -0.055631999	  -0.298655994	   0.975999981
   4.376333999	  -0.051727999	  -0.298655994	   0.977463981
   4.384939999	  -0.050263999	  -0.298655994	   0.976975981
   4.393545999	  -0.049775999	  -0.299143994	   0.976975981
   4.402151999	  -0.050263999	  -0.301095994	   0.976975981
   4.410757999	  -0.053679999	  -0.300607994	   0.975999981
   4.419363999	  -0.056607999	  -0.300607994	   0.975511981
   4.427969999	  -0.059047999	  -0.299631994	   0.975023981
   4.436575999	  -0.061975999	  -0.299631994	   0.973559981
   4.445181999	  -0.062951999	  -0.299143994	   0.975023981
   4.453787999	  -0.061487999	  -0.298167994	   0.975023981
   4.462393999	  -0.059535999	  -0.299143994	   0.975511981
   4.470999999	  -0.056607999	  -0.298655994	   0.975999981
   4.479605999	  -0.053679999	  -0.300119994	   0.976975981
   4.488211999	  -0.051727999	  -0.300119994	   0.976975981
   4.496817999	  -0.049287999	  -0.300607994	   0.976975981
   4.505423999	  -0.049287999	  -0.300607994	   0.976487981
   4.514029999	  -0.050751999	  -0.301095994	   0.976975981
   4.522635999	  -0.053191999	  -0.299631994	   0.976487981
   4.531241999	  -0.056119999	  -0.297679994	   0.975511981
   4.539847999	  -0.060511999	  -0.298167994	   0.975023981
   4.548453999	  -0.064415999	  -0.298655994	   0.976487981
   4.557059999	  -0.064415999	  -0.299143994	   0.974047981
   4.565665999	  -0.063927999	  -0.300119994	   0.975023981
   4.574271999	  -0.062463999	  -0.299143994	   0.974535981
   4.582877999	  -0.059535999	  -0.300119994	   0.975023981
   4.591483999	  -0.055143999	  -0.300607994	   0.976487981
   4.600089999	  -0.050263999	  -0.299631994	   0.976975981
   4.608695999	  -0.047823999	  -0.299631994	   0.976487981
   4.617301999	  -0.045871999	  -0.299143994	   0.977951981
   4.625907999	  -0.046847999	  -0.299143994	   0.977951981
   4.634513999	  -0.048799999	  -0.299143994	   0.977463981
   4.643119999	  -0.054167999	  -0.299631994	   0.975511981
   4.651725999	  -0.058071999	  -0.299143994	   0.975511981
   4.660331999	  -0.063927999	  -0.299143994	   0.974535981
   4.668937999	  -0.065391999	  -0.299631994	   0.974047981
   4.677543999	  -0.064903999	  -0.300119994	   0.974047981
   4.686149999	  -0.063927999	  -0.298655994	   0.975023981
   4.694755999	  -0.062463999	  -0.297679994	   0.975511981
   4.703361999	  -0.057583999	  -0.299143994	   0.975999981
   4.711967999	  -0.053679999	  -0.300607994	   0.975511981
   4.720573999	  -0.050263999	  -0.300607994	   0.975999981
   4.729179999	  -0.047335999	  -0.300119994	   0.976975981
   4.737785999	  -0.048311999	  -0.299143994	   0.977463981
   4.746391999	  -0.048799999	  -0.299143994	   0.977951981
   4.754997999	  -0.051727999	  -0.298167994	   0.976487981
   4.763603999	  -0.056119999	  -0.299631994	   0.975511981
   4.772209999	  -0.060511999	  -0.301095994	   0.974535981
   4.780815999	  -0.063927999	  -0.299631994	   0.974047981
   4.789421999	  -0.064903999	  -0.299631994	   0.973559981
   4.798027999	  -0.063927999	  -0.298655994	   0.974535981
   4.806633999	  -0.061487999	  -0.297679994	   0.975023981
   4.815239999	  -0.057583999	  -0.300119994	   0.976975981
   4.823845999	  -0.052703999	  -0.300119994	   0.976975981
   4.832451999	  -0.049287999	  -0.299631994	   0.975999981
   4.841057999	  -0.047335999	  -0.300119994	   0.976487981
   4.849663999	  -0.048311999	  -0.299143994	   0.976975981
   4.858269999	  -0.050263999	  -0.300119994	   0.976975981
