A_x [g]	A_y [g]	A_z [g]
  -0.204227996	  -0.080763998	   0.979171981
  -0.165126997	  -0.079238998	   0.953185982
  -0.170555997	  -0.069722999	   0.961176981
  -0.180803997	  -0.061365999	   0.963738981
  -0.235520995	  -0.058376999	   0.987345981
  -0.289505994	  -0.050385999	   0.998813981
  -0.423217992	  -0.051910999	   1.012416980
  -0.571813989	  -0.074419999	   0.996495981
  -0.559247989	  -0.080031998	   0.945499982
  -0.641292988	  -0.065574999	   0.986552981
  -0.736696986	  -0.046786999	   1.011135980
  -0.684236987	  -0.041662999	   0.918171982
  -0.573338989	  -0.043980999	   0.806114984
  -0.547291989	  -0.067587999	   0.733707986
  -0.584501989	  -0.089120998	   0.674659987
  -0.868151983	  -0.094183998	   0.750543986
  -1.312780975	  -0.135968997	   0.765305985
  -1.436915972	  -0.105712998	   0.653675987
  -1.457167972	  -0.064293999	   0.618295988
  -1.140333978	  -0.020191000	   0.573216989
  -0.681186987	  -0.018483000	   0.401257992
   0.005673000	  -0.021106000	   0.077835998
   0.792145985	   0.038002999	   0.006649000
   0.871811983	   0.103821998	   0.213682996
  -0.221185996	  -0.262787995	  -0.164333997
  -1.998603961	  -0.832649984	  -0.664167987
  -1.998603961	  -1.045966980	  -0.645684988
  -1.998603961	  -0.921099982	  -0.738831986
  -1.998603961	  -0.517279990	  -0.297923994
  -0.940863982	  -0.028425999	   0.190380996
  -0.002196000	   0.449325991	   0.364047993
   0.951355982	   0.579194989	   0.259310995
   1.262455976	   0.414128992	   0.153109997
   0.467930991	   0.014091000	   0.019886000
  -1.265932976	  -0.737977986	  -0.652577987
  -1.998603961	  -1.158877978	  -1.196575977
  -1.998603961	  -0.772808985	  -0.705952986
  -1.998603961	  -0.339403993	  -0.215329996
  -0.693447987	   0.197883996	   0.288529994
   0.802393985	   0.602740988	   0.303352994
   1.435573972	   0.514229990	   0.238997995
   1.137893978	   0.123585998	   0.099429998
  -0.071979999	  -0.364291993	  -0.293409994
  -1.998603961	  -1.004486981	  -0.709185986
  -1.998603961	  -1.227746976	  -0.958614982
  -1.998603961	  -0.815874984	  -0.558576989
  -1.998603961	  -0.274316995	  -0.006039000
  -0.394669992	   0.297374994	   0.316955994
   1.138869978	   0.801600985	   0.156708997
   1.665360968	   0.631410988	   0.172568997
   1.062619979	   0.042943999	   0.167566997
  -0.654895987	  -0.647453988	  -0.046786999
